group name,group sum,group mean,group std per feat,group var
VUV,345170.53125,172585.265625,0.0,0.0
SYL_LEN_IN_NO_SEG_EQ_R,151863.609375,9491.4755859375,5272.669921875,27801048.0
PHRASE_POSITION_IN_UTTERANCE_BW_LTE_C,51585.53515625,8597.589192708334,3046.280517578125,9279825.0
PHRASE_POSITION_IN_UTTERANCE_BW_EQ_C,57935.45703125,7241.93212890625,4752.232421875,22583712.0
NUM_ACCENTED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,105202.71875,6575.169921875,7433.86669921875,55262376.0
SYL_ACCENT_TYPE_L,86106.984375,6150.498883928572,7126.4892578125,50786848.0
NUM_WORDS_FROM_NEXT_CONT_WORD_EQ,85684.5078125,6120.321986607143,9980.599609375,99612368.0
NUM_SYLS_FROM_NEXT_STRESSED_SYL_EQ,83818.3359375,5987.023995535715,3463.604736328125,11996558.0
UTTERANCE_LEN_IN_NO_PHRASES_EQ,44216.5859375,5527.0732421875,4065.68408203125,16529787.0
SYL_STRESSED_R,21665.474609375,5416.36865234375,1784.14794921875,3183184.0
SYL_ACCENTED_R,19643.080078125,4910.77001953125,3392.051513671875,11506014.0
SYL_POSITION_IN_WORD_BW_EQ,77703.7734375,4856.48583984375,3382.05517578125,11438298.0
SYL_ACCENT_TYPE_C,67166.984375,4797.641741071428,3615.7158203125,13073401.0
SYL_POSITION_IN_PHRASE_FW_EQ,198115.234375,4717.029389880952,4073.06689453125,16589873.0
NUM_STRESSED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,114113.2578125,4388.971454326923,3077.241943359375,9469418.0
PHRASE_POSITION_IN_UTTERANCE_FW_LTE_C,26025.451171875,4337.5751953125,1735.94189453125,3013494.25
SYL_POSITION_IN_PHRASE_BW_EQ,176280.359375,4197.151413690476,3764.898193359375,14174458.0
SYL_POSITION_IN_WORD_FW_LTE,57640.19921875,4117.157087053572,869.3731079101562,755809.625
NUM_SEG_IN_SYL_BW_EQ,65299.859375,4081.2412109375,1874.4873046875,3513702.5
SYL_POSITION_IN_WORD_FW_EQ,64835.703125,4052.2314453125,2384.12353515625,5684045.0
WORD_LEN_IN_NO_SYLS_EQ_C,63494.8984375,3968.43115234375,2633.417236328125,6934886.0
SYL_LEN_IN_NO_SEG_LTE_R,54592.4453125,3899.460379464286,3909.3154296875,15282747.0
NUM_SEG_IN_SYL_FW_EQ,61866.921875,3866.6826171875,3809.735595703125,14514086.0
SYL_LEN_IN_NO_SEG_EQ_L,60163.0625,3760.19140625,2168.125244140625,4700767.5
NUM_SYLS_FROM_NEXT_ACCENTED_SYL_EQ,132726.328125,3686.8424479166665,2580.075439453125,6656789.0
SYL_LEN_IN_NO_SEG_LTE_L,51406.5546875,3671.8967633928573,1670.3358154296875,2790021.75
SYL_ACCENT_TYPE_R,48620.6875,3472.90625,3129.187744140625,9791816.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_C,548053.4375,3425.333984375,2494.215576171875,6221111.5
WORD_LEN_IN_NO_SYLS_LTE_L,47595.17578125,3399.6554129464284,2549.546875,6500189.5
PHRASE_LEN_IN_NO_SYLS_EQ_L,137970.265625,3285.006324404762,2542.64453125,6465041.0
UTTERANCE_LEN_IN_NO_SYLS_EQ,182702.65625,3262.547433035714,2261.294189453125,5113451.0
PHRASE_LEN_IN_NO_WORDS_LTE_C,91008.2734375,3250.295479910714,1473.2991943359375,2170610.5
QUINTPHONE_SEGMENT_VC_C,12942.765625,3235.69140625,838.890869140625,703737.875
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE_EQ,64200.7109375,3210.035546875,2256.73583984375,5092857.0
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE_LTE,57721.6171875,3206.7565104166665,1689.88623046875,2855715.5
WORD_LEN_IN_NO_SYLS_LTE_R,44781.48828125,3198.677734375,1102.0030517578125,1214410.625
PHRASE_LEN_IN_NO_WORDS_EQ_C,93442.4453125,3114.7481770833333,2177.235595703125,4740354.5
SYL_STRESSED_L,12288.45703125,3072.1142578125,249.7926025390625,62396.34375
NUM_STRESSED_SYLS_BEFORE_CURRENT_SYL_IN_CURRENT_PHRASE_LTE,72870.8515625,3036.2854817708335,1928.978271484375,3720957.25
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_LL,477588.40625,2984.9275390625,2135.73486328125,4561363.0
PHRASE_POSITION_IN_UTTERANCE_FW_EQ_C,23729.771484375,2966.221435546875,1617.1953125,2615320.5
SYL_POSITION_IN_PHRASE_BW_LTE,118144.0546875,2953.6013671875,2230.798095703125,4976460.0
SYL_POSITION_IN_PHRASE_FW_LTE,116828.65625,2920.71640625,2235.572998046875,4997787.0
UTTERANCE_LEN_IN_NO_SYLS_LTE,155783.703125,2884.883391203704,2802.0185546875,7851308.5
WORD_LEN_IN_NO_SYLS_EQ_L,44499.84765625,2781.240478515625,1678.3494873046875,2816857.0
PHRASE_LEN_IN_NO_WORDS_EQ_R,87554.265625,2736.07080078125,1882.4002685546875,3543431.0
NUM_STRESSED_SYLS_BEFORE_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,70974.875,2729.8028846153848,1949.6527099609375,3801145.75
WORD_LEN_IN_NO_SYLS_EQ_R,43547.859375,2721.7412109375,1378.1356201171875,1899257.875
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_RR,418974.3125,2720.6124188311687,1903.4608154296875,3623163.0
WORD_POSITION_IN_PHRASE_BW_LTE,70298.96875,2703.8064903846152,1643.5880126953125,2701381.75
QUINTPHONE_SEGMENT_VC_RR,10801.3740234375,2700.343505859375,1925.6629638671875,3708178.0
PHRASE_LEN_IN_NO_SYLS_EQ_R,108754.3984375,2589.3904389880954,1557.72900390625,2426519.75
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE_LTE,45971.17578125,2553.9542100694443,2269.77294921875,5151869.0
NUM_WORDS_FROM_PREV_CONT_WORD_EQ,35508.00390625,2536.2859933035716,1423.558349609375,2026518.375
NUM_ACCENTED_SYLS_BEFORE_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,35343.4453125,2524.531808035714,2873.863525390625,8259091.0
SYL_ACCENTED_C,15044.2109375,2507.3684895833335,631.4961547851562,398787.40625
WORD_POSITION_IN_PHRASE_BW_EQ,74667.5625,2488.91875,1652.711669921875,2731456.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_R,379005.1875,2429.5204326923076,1550.2606201171875,2403308.0
NUM_SYLS_FROM_NEXT_STRESSED_SYL_LTE,28192.640625,2349.38671875,1750.1864013671875,3063152.25
