group name,group sum,group mean,group std per feat,group var
VUV,345170.53125,172585.265625,0.0,0.0
PHRASE_POSITION_IN_UTTERANCE_BW,109520.9921875,7822.928013392857,4163.1865234375,17332122.0
SYLLABLE_ACCENT_TYPE,201894.640625,4807.015252976191,5074.0166015625,25745646.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,133436.390625,4447.8796875,5962.9892578125,35557240.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_STRESSED_SYL,112010.9765625,4308.114483173077,3340.9541015625,11161975.0
SYLLABLE_LEN_IN_SEGMENTS,368686.46875,4096.516319444445,3991.31298828125,15930580.0
UTTERANCE_LEN_IN_PHRASES,57197.49609375,4085.5354352678573,3740.590576171875,13992017.0
SYLLABLE_POSITION_IN_WORD_FW,122475.8984375,4082.5299479166665,1839.905029296875,3385250.5
NUM_WORDS_FROM_NEXT_CONT_WORD,101030.546875,3885.790264423077,7718.24951171875,59571376.0
SYLLABLE_POSITION_IN_PHRASE_FW,314943.875,3840.7789634146343,3426.57275390625,11741401.0
SYLLABLE_POSITION_IN_WORD,225529.6875,3758.828125,2485.552734375,6177973.0
SYLLABLE_POSITION_IN_PHRASE,609368.25,3715.6600609756097,3305.050048828125,10923356.0
SYLLABLE_POSITION_IN_PHRASE_BW,294424.375,3590.5411585365855,3173.95703125,10074004.0
PHRASE_POSITION_IN_UTTERANCE_FW,49755.22265625,3553.9444754464284,1801.811279296875,3246524.0
SYLLABLE_POSITION_IN_WORD_BW,103053.7734375,3435.12578125,2959.920654296875,8761130.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,191154.203125,3413.4679129464284,4757.97705078125,22638346.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,166134.140625,3322.6828125,2629.76220703125,6915649.5
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_STRESSED_SYLS,172414.609375,3315.665564903846,2695.1240234375,7263693.5
SYLLABLE_STRESS,46250.234375,3303.5881696428573,1819.1668701171875,3309368.25
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE,121922.3359375,3208.4825246710525,2008.273193359375,4033161.25
SEG_POS_IN_SYL,194263.171875,3133.2769657258063,2444.953369140625,5977796.5
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,309979.875,3099.79875,2323.908935546875,5400552.5
UTTERANCE_LEN_IN_SYLS,338486.34375,3077.1485795454546,2548.1630859375,6493135.0
SYLLABLE_ACCENTED,42615.26171875,3043.947265625,2227.8603515625,4963361.5
WORD_LEN_IN_SYLS,266850.09375,2965.001041666667,2003.3262939453125,4013316.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,143845.734375,2876.9146875,1945.7904052734375,3786100.5
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_ACCENTED_SYL,189908.65625,2712.9808035714286,2225.2724609375,4951838.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE,2129321.0,2695.3430379746837,1976.53515625,3906691.0
QUINTPHONE_SEGMENTAL_FEATURES,2171302.0,2680.6197530864197,1965.1141357421875,3861673.75
WORD_POSITION_IN_PHRASE_BW,144966.53125,2588.688058035714,1651.9617919921875,2728977.75
PHRASE_LEN_IN_WORDS,450208.5,2587.405172413793,1866.9124755859375,3485362.0
NUM_WORDS_FROM_PREV_CONT_WORD,63473.82421875,2441.3009314903848,1314.7279052734375,1728509.375
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_ACCENTED_SYLS,338408.4375,2417.203125,2014.4637451171875,4058064.0
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE,89725.25,2361.190789473684,2070.0146484375,4284960.5
WORD_POSITION_IN_PHRASE,256655.90625,2333.2355113636363,1528.4959716796875,2336300.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_STRESSED_SYL,60403.6328125,2323.2166466346152,1181.314208984375,1395503.125
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,57717.82421875,2219.916316105769,2252.27587890625,5072747.0
SYL_VOWEL_TYPE,73205.25,2153.095588235294,1048.8087158203125,1099999.625
SYLLABLE_NUCLEUS,73205.25,2153.095588235294,1048.8087158203125,1099999.625
PHRASE_LEN_IN_SYLS,531462.25,2125.849,1725.3829345703125,2976946.25
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_ACCENTED_SYL,148499.84375,2121.426339285714,1728.965576171875,2989322.0
UTTERANCE_LEN_IN_WORDS,105572.703125,2111.4540625,1531.242431640625,2344703.5
QUINTPHONE_SEGMENT_VC,41981.05078125,2099.0525390625,1317.839599609375,1736701.25
WORD_POSITION_IN_PHRASE_FW,111689.3515625,2068.3213252314813,1338.36669921875,1791225.375
