group name,group sum,group mean,group std per feat,group var
VUV,345170.53125,172585.265625,0.0,0.0
PHRASE_POSITION,159276.21875,5688.436383928572,3852.969970703125,14845378.0
SYLLABLE_ACCENT_TYPE,201894.640625,4807.015252976191,5074.0166015625,25745646.0
SYLLABLE_LEN_IN_SEGMENTS,368686.46875,4096.516319444445,3991.31298828125,15930580.0
SYLLABLE_POSITION,834898.0,3727.223214285714,3106.869384765625,9652638.0
SYLLABLE_STRESS,46250.234375,3303.5881696428573,1819.1668701171875,3309368.25
SYLLABLE_NEIGHBOURHOOD,501134.0625,3212.3978365384614,3407.509033203125,11611118.0
RELATIVE_WORD_POSITION,164504.34375,3163.5450721153848,5583.15185546875,31171582.0
SEG_POS_IN_SYL,194263.171875,3133.2769657258063,2444.953369140625,5977796.5
SYLLABLE_ACCENTED,42615.26171875,3043.947265625,2227.8603515625,4963361.5
WORD_LEN_IN_SYLS,266850.09375,2965.001041666667,2003.3262939453125,4013316.0
UTTERANCE_LEN,501256.5625,2880.784841954023,2493.12060546875,6215650.5
WORD_SURROUNDINGS,211647.609375,2784.8369654605262,2082.915283203125,4338536.5
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE,2129321.0,2695.3430379746837,1976.53515625,3906691.0
QUINTPHONE_SEGMENTAL_FEATURES,2171302.0,2680.6197530864197,1965.1141357421875,3861673.75
RELATIVE_SYLLABLE_POSITION,510823.09375,2660.5369466145835,2255.14306640625,5085670.0
WORD_POSITION,256655.90625,2333.2355113636363,1528.4959716796875,2336300.0
PHRASE_LEN,981670.75,2315.2612028301887,1799.2042236328125,3237136.0
SYLLABLE_NUCLEUS,73205.25,2153.095588235294,1048.8087158203125,1099999.625
QUINTPHONE_SEGMENT_VC,41981.05078125,2099.0525390625,1317.839599609375,1736701.25
