group name,group sum,group mean,group std per feat,group var
PHRASAL_POSITIONAL_ABSOLUTE,159276.21875,5688.436383928572,3852.969970703125,14845378.0
SYLLABIC_COMPOSITIONAL,368686.46875,4096.516319444445,3991.31298828125,15930580.0
SYLLABIC_POSITIONAL_ABSOLUTE,834898.0,3727.223214285714,3106.869384765625,9652638.0
SYLLABIC_QUALITATIVE,363965.40625,3499.6673677884614,3631.349365234375,13186698.0
SYLLABIC_PARENTAL_COMPOSITION,501134.0625,3212.3978365384614,3407.509033203125,11611118.0
WORD_POSITIONAL_RELATIVE,164504.34375,3163.5450721153848,5583.15185546875,31171582.0
SEGMENTAL_POSITIONAL_ABSOLUTE,194263.171875,3133.2769657258063,2444.953369140625,5977796.5
WORD_COMPOSITIONAL,266850.09375,2965.001041666667,2003.3262939453125,4013316.0
UTTERANCE_COMPOSITIONAL,501256.5625,2880.784841954023,2493.12060546875,6215650.5
WORD_PARENTAL_COMPOSITION,211647.609375,2784.8369654605262,2082.915283203125,4338536.5
SEGMENTAL_QUALITATIVE,2171302.0,2680.6197530864197,1965.1141357421875,3861673.75
SYLLABIC_POSITIONAL_RELATIVE,510823.09375,2660.5369466145835,2255.14306640625,5085670.0
WORD_POSITIONAL_ABSOLUTE,256655.90625,2333.2355113636363,1528.4959716796875,2336300.0
PHRASAL_COMPOSITIONAL,981670.75,2315.2612028301887,1799.2042236328125,3237136.0
