group name,group sum,group mean,group std per feat,group var
PHRASE_POSITION_IN_UTTERANCE_BW,-430.3126525878906,-30.736618041992188,30.80948829650879,949.224609375
VUV,-54.64094161987305,-27.320470809936523,0.0,0.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,-427.7995910644531,-8.555991821289062,14.44228458404541,208.57957458496094
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,-836.7098388671875,-8.367098388671875,12.942925453186035,167.51931762695312
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,-408.9102478027344,-8.178204956054687,11.242229461669922,126.38773345947266
SYLLABLE_POSITION_IN_PHRASE_BW,-605.9957885742188,-7.390192543588033,11.6936616897583,136.74171447753906
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_STRESSED_SYL,-181.786376953125,-6.991783728966346,14.091552734375,198.5718536376953
SYLLABLE_ACCENT_TYPE,-291.5859375,-6.942522321428571,11.312021255493164,127.96183013916016
SYLLABLE_POSITION_IN_PHRASE,-1123.147705078125,-6.848461616330031,12.078027725219727,145.87875366210938
SYLLABLE_POSITION_IN_WORD_BW,-195.17318725585938,-6.5057729085286455,13.196208000183105,174.13990783691406
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_ACCENTED_SYL,-445.2690124511719,-6.360985892159598,7.553910255432129,57.061561584472656
SYLLABLE_POSITION_IN_PHRASE_FW,-517.1520385742188,-6.306732177734375,12.426939964294434,154.42884826660156
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,-158.52066040039062,-6.096948476938101,12.936589241027832,167.35533142089844
UTTERANCE_LEN_IN_SYLS,-662.68115234375,-6.024374112215909,9.405258178710938,88.4588851928711
UTTERANCE_LEN_IN_WORDS,-289.90509033203125,-5.798101806640625,8.074785232543945,65.20216369628906
UTTERANCE_LEN_IN_PHRASES,-81.09114074707031,-5.7922243390764505,10.102437019348145,102.05924224853516
SYLLABLE_LEN_IN_SEGMENTS,-515.6199951171875,-5.729111056857639,16.050020217895508,257.6031494140625
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE,-4446.0078125,-5.627857990506329,9.278743743896484,86.09507751464844
SYLLABLE_STRESS,-78.75498962402344,-5.62535640171596,7.84183406829834,61.49435806274414
SYLLABLE_NUCLEUS,-190.96994018554688,-5.616762946633732,7.0224480628967285,49.31477737426758
SYL_VOWEL_TYPE,-190.96994018554688,-5.616762946633732,7.0224480628967285,49.31477737426758
QUINTPHONE_SEGMENTAL_FEATURES,-4515.76513671875,-5.575018687307098,9.193267822265625,84.51616668701172
SYLLABLE_POSITION_IN_WORD,-327.6830749511719,-5.461384582519531,10.593632698059082,112.22505187988281
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_ACCENTED_SYLS,-750.7720947265625,-5.362657819475446,6.826313495635986,46.59855651855469
PHRASE_POSITION_IN_UTTERANCE_FW,-74.4794921875,-5.319963727678571,8.049205780029297,64.78971862792969
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_STRESSED_SYLS,-262.1391296386719,-5.041137108435998,10.728676795959473,115.10450744628906
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,-252.5911865234375,-4.510556902204241,9.416766166687012,88.67548370361328
SYLLABLE_POSITION_IN_WORD_FW,-132.5098876953125,-4.416996256510417,6.937486171722412,48.12871170043945
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_ACCENTED_SYL,-305.5030822753906,-4.364329746791294,5.843135356903076,34.14223098754883
PHRASE_LEN_IN_SYLS,-1084.707275390625,-4.3388291015625,6.878285884857178,47.310813903808594
WORD_LEN_IN_SYLS,-383.3770446777344,-4.259744940863715,6.840463638305664,46.79194259643555
NUM_WORDS_FROM_PREV_CONT_WORD,-108.47520446777344,-4.172123248760517,5.194423675537109,26.982038497924805
PHRASE_LEN_IN_WORDS,-623.4647216796875,-3.58313058436602,5.710566520690918,32.61056900024414
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE,-134.41558837890625,-3.537252325760691,6.026216983795166,36.31529235839844
QUINTPHONE_SEGMENT_VC,-69.75674438476562,-3.487837219238281,4.205094337463379,17.682819366455078
SEG_POS_IN_SYL,-204.22630310058594,-3.2939726306546118,5.341125965118408,28.52762794494629
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,-94.07054138183594,-3.1356847127278646,4.051532745361328,16.414918899536133
SYLLABLE_ACCENTED,-43.71788024902344,-3.122705732073103,4.631101608276367,21.447101593017578
NUM_WORDS_FROM_NEXT_CONT_WORD,-81.16050720214844,-3.1215579693134012,5.491510391235352,30.15668487548828
WORD_POSITION_IN_PHRASE_BW,-174.48629760742188,-3.115826742989676,5.518444538116455,30.453229904174805
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_STRESSED_SYL,-80.35279083251953,-3.090491955096905,4.901751518249512,24.027170181274414
WORD_POSITION_IN_PHRASE,-317.7809143066406,-2.888917402787642,4.618647575378418,21.3319034576416
WORD_POSITION_IN_PHRASE_FW,-143.2946319580078,-2.6536042955186634,3.429866075515747,11.763980865478516
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE,-40.98063659667969,-1.0784378051757812,1.667059063911438,2.779085874557495
