group name,group sum,group mean,group std per feat,group var
PHRASAL_POSITIONAL_ABSOLUTE,-504.79217529296875,-18.028291974748885,25.85553741455078,668.5087890625
SYLLABIC_PARENTAL_COMPOSITION,-1089.3009033203125,-6.982698098207131,11.943150520324707,142.6388397216797
SYLLABIC_POSITIONAL_ABSOLUTE,-1450.830810546875,-6.476923261369977,11.715019226074219,137.24168395996094
UTTERANCE_COMPOSITIONAL,-1033.6773681640625,-5.94067452967852,9.103968620300293,82.88224792480469
SYLLABIC_QUALITATIVE,-605.0286865234375,-5.8175835242638225,8.97056770324707,80.47107696533203
SYLLABIC_COMPOSITIONAL,-515.6199951171875,-5.729111056857639,16.050020217895508,257.6031494140625
SEGMENTAL_QUALITATIVE,-4515.76513671875,-5.575018687307098,9.193267822265625,84.51616668701172
SYLLABIC_POSITIONAL_RELATIVE,-1012.9112548828125,-5.275579452514648,8.072958946228027,65.17266845703125
WORD_COMPOSITIONAL,-383.3770446777344,-4.259744940863715,6.840463638305664,46.79194259643555
PHRASAL_COMPOSITIONAL,-1708.172119140625,-4.028707828161852,6.435553550720215,41.416351318359375
WORD_POSITIONAL_RELATIVE,-189.63568115234375,-3.6468400221604567,5.3707804679870605,28.84528350830078
SEGMENTAL_POSITIONAL_ABSOLUTE,-204.22630310058594,-3.2939726306546118,5.341125965118408,28.52762794494629
WORD_POSITIONAL_ABSOLUTE,-317.7809143066406,-2.888917402787642,4.618647575378418,21.3319034576416
WORD_PARENTAL_COMPOSITION,-175.39622497558594,-2.307845065468236,4.588968276977539,21.058629989624023
