group name,group sum,group mean,group std per feat,group var
PHRASE_POSITION_IN_UTTERANCE_BW_LTE_C,-51510.49609375,-8585.082682291666,3045.233154296875,9273445.0
VUV,-10436.4208984375,-5218.21044921875,0.0,0.0
PHRASE_POSITION_IN_UTTERANCE_BW_EQ_C,-30679.34765625,-3834.91845703125,6631.361328125,43974956.0
NUM_STRESSED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,-75514.5703125,-2904.406550480769,3333.97607421875,11115396.0
SYL_LEN_IN_NO_SEG_LTE_R,-35237.109375,-2516.9363839285716,4481.845703125,20086942.0
SYL_LEN_IN_NO_SEG_EQ_R,-38227.921875,-2389.2451171875,5343.24951171875,28550316.0
SYL_POSITION_IN_WORD_BW_EQ,-36581.79296875,-2286.362060546875,3094.3544921875,9575029.0
WORD_LEN_IN_NO_SYLS_EQ_L,-32565.982421875,-2035.3739013671875,2145.8544921875,4604691.0
SYL_POSITION_IN_PHRASE_BW_EQ,-79828.1640625,-1900.6705729166667,2656.6953125,7058030.5
SYL_STRESSED_R,-7258.07568359375,-1814.5189208984375,1793.1236572265625,3215292.5
PHRASE_POSITION_IN_UTTERANCE_FW_EQ_C,-14109.2333984375,-1763.6541748046875,1682.9500732421875,2832321.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_C,-278955.71875,-1743.4732421875,2556.05859375,6533435.5
NUM_STRESSED_SYLS_BEFORE_CURRENT_SYL_IN_CURRENT_PHRASE_LTE,-41331.5546875,-1722.1481119791667,2509.604248046875,6298114.0
QUINTPHONE_SEGMENT_VC_LL,-6713.8134765625,-1678.453369140625,293.15509033203125,85939.90625
UTTERANCE_LEN_IN_NO_PHRASES_EQ,-13294.396484375,-1661.799560546875,2388.11572265625,5703097.0
SYL_ACCENT_TYPE_R,-23242.99609375,-1660.2140066964287,2445.8603515625,5982233.0
SYL_STRESSED_L,-6539.77587890625,-1634.9439697265625,1600.2469482421875,2560790.25
NUM_ACCENTED_SYLS_BEFORE_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,-22212.490234375,-1586.6064453125,3228.10498046875,10420662.0
SYL_ACCENT_TYPE_C,-21948.62890625,-1567.7592075892858,2585.87255859375,6686737.0
SYL_POSITION_IN_PHRASE_FW_EQ,-65083.671875,-1549.6112351190477,3018.90673828125,9113798.0
NUM_SYLS_FROM_NEXT_STRESSED_SYL_EQ,-21584.451171875,-1541.7465122767858,3112.154541015625,9685506.0
NUM_STRESSED_SYLS_BEFORE_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,-36770.27734375,-1414.241436298077,1734.2630615234375,3007668.25
UTTERANCE_LEN_IN_NO_WORDS_LTE,-33609.6796875,-1400.4033203125,1717.577392578125,2950072.0
NUM_SYLS_FROM_NEXT_ACCENTED_SYL_LTE,-47248.140625,-1389.6511948529412,1253.6119384765625,1571543.0
UTTERANCE_LEN_IN_NO_SYLS_EQ,-72850.7734375,-1300.9066685267858,1982.76025390625,3931338.25
PHRASE_LEN_IN_NO_WORDS_EQ_C,-38610.12890625,-1287.004296875,1419.6759033203125,2015479.5
SYL_POSITION_IN_WORD_FW_EQ,-18508.7578125,-1156.79736328125,1374.4169921875,1889022.0
PHRASE_LEN_IN_NO_SYLS_EQ_L,-48358.83203125,-1151.4007626488096,1727.9892578125,2985947.0
NUM_WORDS_FROM_PREV_CONT_WORD_EQ,-15691.8125,-1120.84375,1200.7967529296875,1441912.875
NUM_SEG_IN_SYL_BW_EQ,-17878.68359375,-1117.417724609375,1504.37451171875,2263142.5
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_LL,-177173.78125,-1107.3361328125,1677.2510986328125,2813171.25
NUM_SYLS_FROM_NEXT_STRESSED_SYL_LTE,-13136.740234375,-1094.7283528645833,2070.795166015625,4288192.5
