group name,group sum,group mean,group std per feat,group var
PHRASE_POSITION_IN_UTTERANCE_BW,-82189.8515625,-5870.703683035715,5884.62158203125,34628772.0
VUV,-10436.4208984375,-5218.21044921875,0.0,0.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,-81709.6640625,-1634.19328125,2758.47265625,7609171.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,-159811.484375,-1598.11484375,2472.09619140625,6111260.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,-78101.828125,-1562.0365625,2147.264892578125,4610746.0
SYLLABLE_POSITION_IN_PHRASE_BW,-115745.1328125,-1411.5260099085365,2233.488525390625,4988470.5
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_STRESSED_SYL,-34721.19140625,-1335.430438701923,2691.486328125,7244099.0
SYLLABLE_ACCENT_TYPE,-55692.92578125,-1326.0220424107142,2160.596923828125,4668179.5
SYLLABLE_POSITION_IN_PHRASE,-214521.1875,-1308.0560213414635,2306.903564453125,5321803.5
SYLLABLE_POSITION_IN_WORD_BW,-37278.0625,-1242.6020833333334,2520.474365234375,6352790.5
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_ACCENTED_SYL,-85046.34375,-1214.947767857143,1442.7958984375,2081659.875
SYLLABLE_POSITION_IN_PHRASE_FW,-98776.0390625,-1204.5858422256097,2373.547119140625,5633725.5
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,-30277.43359375,-1164.5166766826924,2470.886962890625,6105282.0
UTTERANCE_LEN_IN_SYLS,-126572.1171875,-1150.6556107954545,1796.4044189453125,3227068.75
UTTERANCE_LEN_IN_WORDS,-55371.8671875,-1107.43734375,1542.2838134765625,2378639.25
UTTERANCE_LEN_IN_PHRASES,-15488.4033203125,-1106.3145228794642,1929.564208984375,3723218.25
SYLLABLE_LEN_IN_SEGMENTS,-98483.34375,-1094.259375,3065.55224609375,9397611.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE,-849187.5,-1074.9208860759493,1772.2398681640625,3140834.25
SYLLABLE_STRESS,-15042.193359375,-1074.4423828125,1497.7891845703125,2243372.5
SYLLABLE_NUCLEUS,-36475.25390625,-1072.8015854779412,1341.287353515625,1799051.75
SYL_VOWEL_TYPE,-36475.25390625,-1072.8015854779412,1341.287353515625,1799051.75
QUINTPHONE_SEGMENTAL_FEATURES,-862511.0625,-1064.8284722222222,1755.9140625,3083234.25
SYLLABLE_POSITION_IN_WORD,-62587.4375,-1043.1239583333333,2023.382568359375,4094077.25
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_ACCENTED_SYLS,-143397.46875,-1024.2676339285715,1303.82568359375,1699961.375
PHRASE_POSITION_IN_UTTERANCE_FW,-14225.556640625,-1016.1111886160714,1537.394287109375,2363581.25
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_STRESSED_SYLS,-50068.5859375,-962.857421875,2049.177734375,4199129.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,-48244.91015625,-861.5162527901786,1798.6011962890625,3234966.25
SYLLABLE_POSITION_IN_WORD_FW,-25309.37109375,-843.645703125,1325.0589599609375,1755781.25
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_ACCENTED_SYL,-58351.1171875,-833.5873883928572,1116.0399169921875,1245545.0
PHRASE_LEN_IN_SYLS,-207179.109375,-828.7164375,1313.75244140625,1725945.375
WORD_LEN_IN_SYLS,-73225.0234375,-813.6113715277778,1306.5291748046875,1707018.5
NUM_WORDS_FROM_PREV_CONT_WORD,-20718.76953125,-796.8757512019231,992.1356811523438,984333.25
PHRASE_LEN_IN_WORDS,-119081.796875,-684.3781429597701,1090.7186279296875,1189667.0
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE,-25673.388671875,-675.6154913651316,1151.0081787109375,1324819.875
QUINTPHONE_SEGMENT_VC,-13323.5390625,-666.176953125,803.1732788085938,645087.3125
SEG_POS_IN_SYL,-39007.21484375,-629.1486265120968,1020.154541015625,1040715.3125
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,-17967.474609375,-598.9158203125,773.8428955078125,598832.8125
SYLLABLE_ACCENTED,-8350.107421875,-596.4362444196429,884.5391845703125,782409.5625
NUM_WORDS_FROM_NEXT_CONT_WORD,-15501.666015625,-596.2179236778846,1048.879150390625,1100147.5
WORD_POSITION_IN_PHRASE_BW,-33326.90234375,-595.1232561383929,1054.0240478515625,1110966.75
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_STRESSED_SYL,-15347.39453125,-590.2844050480769,936.2359008789062,876537.625
WORD_POSITION_IN_PHRASE,-60696.1640625,-551.783309659091,882.1621704101562,778210.0625
WORD_POSITION_IN_PHRASE_FW,-27369.259765625,-506.8381438078704,655.103759765625,429160.96875
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE,-7827.29931640625,-205.98156095805922,318.4080810546875,101383.703125
