group name,group sum,group mean,group std per feat,group var
VUV,-10436.4208984375,-5218.21044921875,0.0,0.0
PHRASE_POSITION,-96415.3984375,-3443.4070870535716,4938.4150390625,24387942.0
SYLLABLE_NEIGHBOURHOOD,-208056.390625,-1333.694811698718,2281.1396484375,5203598.0
SYLLABLE_ACCENT_TYPE,-55692.92578125,-1326.0220424107142,2160.596923828125,4668179.5
SYLLABLE_POSITION,-277108.625,-1237.092075892857,2237.568603515625,5006713.0
UTTERANCE_LEN,-197432.390625,-1134.668911637931,1738.85791015625,3023627.0
SYLLABLE_LEN_IN_SEGMENTS,-98483.34375,-1094.259375,3065.55224609375,9397611.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE,-849187.5,-1074.9208860759493,1772.2398681640625,3140834.25
SYLLABLE_STRESS,-15042.193359375,-1074.4423828125,1497.7891845703125,2243372.5
SYLLABLE_NUCLEUS,-36475.25390625,-1072.8015854779412,1341.287353515625,1799051.75
QUINTPHONE_SEGMENTAL_FEATURES,-862511.0625,-1064.8284722222222,1755.9140625,3083234.25
RELATIVE_SYLLABLE_POSITION,-193466.03125,-1007.6355794270834,1541.9351806640625,2377564.0
WORD_LEN_IN_SYLS,-73225.0234375,-813.6113715277778,1306.5291748046875,1707018.5
PHRASE_LEN,-326260.9375,-769.4833431603773,1229.1907958984375,1510909.875
RELATIVE_WORD_POSITION,-36220.4375,-696.546875,1025.81982421875,1052306.25
QUINTPHONE_SEGMENT_VC,-13323.5390625,-666.176953125,803.1732788085938,645087.3125
SEG_POS_IN_SYL,-39007.21484375,-629.1486265120968,1020.154541015625,1040715.3125
SYLLABLE_ACCENTED,-8350.107421875,-596.4362444196429,884.5391845703125,782409.5625
WORD_POSITION,-60696.1640625,-551.783309659091,882.1621704101562,778210.0625
WORD_SURROUNDINGS,-33500.6875,-440.7985197368421,876.4935302734375,768240.875
