group name,group sum,group mean,group std per feat,group var
PHRASAL_POSITIONAL_ABSOLUTE,-96415.3984375,-3443.4070870535716,4938.4150390625,24387942.0
SYLLABIC_PARENTAL_COMPOSITION,-208056.390625,-1333.694811698718,2281.1396484375,5203598.0
SYLLABIC_POSITIONAL_ABSOLUTE,-277108.625,-1237.092075892857,2237.568603515625,5006713.0
UTTERANCE_COMPOSITIONAL,-197432.390625,-1134.668911637931,1738.85791015625,3023627.0
SYLLABIC_QUALITATIVE,-115560.484375,-1111.1585036057693,1713.37841796875,2935665.75
SYLLABIC_COMPOSITIONAL,-98483.34375,-1094.259375,3065.55224609375,9397611.0
SEGMENTAL_QUALITATIVE,-862511.0625,-1064.8284722222222,1755.9140625,3083234.25
SYLLABIC_POSITIONAL_RELATIVE,-193466.03125,-1007.6355794270834,1541.9351806640625,2377564.0
WORD_COMPOSITIONAL,-73225.0234375,-813.6113715277778,1306.5291748046875,1707018.5
PHRASAL_COMPOSITIONAL,-326260.9375,-769.4833431603773,1229.1907958984375,1510909.875
WORD_POSITIONAL_RELATIVE,-36220.4375,-696.546875,1025.81982421875,1052306.25
SEGMENTAL_POSITIONAL_ABSOLUTE,-39007.21484375,-629.1486265120968,1020.154541015625,1040715.3125
WORD_POSITIONAL_ABSOLUTE,-60696.1640625,-551.783309659091,882.1621704101562,778210.0625
WORD_PARENTAL_COMPOSITION,-33500.6875,-440.7985197368421,876.4935302734375,768240.875
