group name,group sum,group mean,group std per feat,group var
VUV,334734.5,167367.25,0.0,0.0
SYL_LEN_IN_NO_SEG_EQ_R,113635.625,7102.2265625,5706.44140625,32563472.0
NUM_ACCENTED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,93286.9921875,5830.43701171875,7858.03271484375,61748676.0
SYL_ACCENT_TYPE_L,75605.671875,5400.405133928572,7590.12451171875,57609992.0
NUM_WORDS_FROM_NEXT_CONT_WORD_EQ,71207.890625,5086.277901785715,10381.7294921875,107780304.0
SYL_ACCENTED_R,19416.240234375,4854.06005859375,3432.145751953125,11779625.0
NUM_SYLS_FROM_NEXT_STRESSED_SYL_EQ,62233.8515625,4445.275111607143,3978.71240234375,15830152.0
PHRASE_POSITION_IN_UTTERANCE_FW_LTE_C,25909.146484375,4318.191080729167,1742.3841552734375,3035902.75
UTTERANCE_LEN_IN_NO_PHRASES_EQ,30922.16015625,3865.27001953125,4787.7587890625,22922636.0
SYL_POSITION_IN_WORD_FW_LTE,50839.58984375,3631.3992745535716,1686.8033447265625,2845305.5
SYL_STRESSED_R,14407.4072265625,3601.851806640625,3577.272216796875,12796877.0
NUM_SEG_IN_SYL_FW_EQ,55756.0859375,3484.75537109375,4084.067138671875,16679605.0
SYL_LEN_IN_NO_SEG_EQ_L,54918.4375,3432.40234375,2480.2060546875,6151421.5
PHRASE_POSITION_IN_UTTERANCE_BW_EQ_C,27256.1171875,3407.0146484375,2133.75048828125,4552891.0
WORD_LEN_IN_NO_SYLS_LTE_L,47009.96484375,3357.8546316964284,2570.488037109375,6607408.5
SYL_LEN_IN_NO_SEG_LTE_L,46100.67578125,3292.9054129464284,2170.089599609375,4709289.0
WORD_LEN_IN_NO_SYLS_EQ_C,52333.640625,3270.8525390625,3217.7041015625,10353620.0
SYL_ACCENT_TYPE_C,45218.34375,3229.8816964285716,4032.3212890625,16259615.0
QUINTPHONE_SEGMENT_VC_C,12896.654296875,3224.16357421875,846.1599731445312,715986.75
SYL_POSITION_IN_PHRASE_FW_EQ,133031.578125,3167.418526785714,4095.87109375,16776160.0
WORD_LEN_IN_NO_SYLS_LTE_R,41775.22265625,2983.9444754464284,1427.02734375,2036407.125
NUM_SEG_IN_SYL_BW_EQ,47421.19921875,2963.824951171875,2740.79541015625,7511960.0
