group name,group sum,group mean,group std per feat,group var
VUV,334734.5,167367.25,0.0,0.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,115468.890625,3848.9630208333333,6223.73974609375,38734936.0
SYLLABLE_ACCENT_TYPE,146201.6875,3480.9925595238096,5472.0146484375,29942946.0
NUM_WORDS_FROM_NEXT_CONT_WORD,85528.8984375,3289.573016826923,7869.38232421875,61927176.0
SYLLABLE_POSITION_IN_WORD_FW,97166.546875,3238.8848958333333,2636.642333984375,6951882.5
SYLLABLE_LEN_IN_SEGMENTS,270203.0625,3002.25625,3573.10302734375,12767066.0
UTTERANCE_LEN_IN_PHRASES,41709.0625,2979.21875,4046.86865234375,16377146.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_STRESSED_SYL,77289.765625,2972.683293269231,3416.6650390625,11673600.0
SYLLABLE_POSITION_IN_WORD,162942.28125,2715.7046875,2746.81884765625,7545014.0
SYLLABLE_POSITION_IN_PHRASE_FW,216167.875,2636.193597560976,3469.243408203125,12035649.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,142909.28125,2551.9514508928573,4821.22705078125,23244228.0
PHRASE_POSITION_IN_UTTERANCE_FW,35529.68359375,2537.834542410714,2424.14892578125,5876498.5
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE,96248.96875,2532.8675986842104,2433.55224609375,5922176.0
SEG_POS_IN_SYL,155256.0,2504.1290322580644,2798.61474609375,7832244.5
SYLLABLE_ACCENTED,34265.17578125,2447.5125558035716,2603.011962890625,6775671.5
SYLLABLE_POSITION_IN_PHRASE,394847.125,2407.6044207317073,3390.744873046875,11497150.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_STRESSED_SYLS,122346.0,2352.8076923076924,2723.921142578125,7419747.0
SYLLABLE_STRESS,31208.060546875,2229.1471819196427,2361.36572265625,5576048.5
SYLLABLE_POSITION_IN_WORD_BW,65775.7265625,2192.52421875,2755.1240234375,7590708.5
SYLLABLE_POSITION_IN_PHRASE_BW,178679.25,2179.015243902439,3294.562744140625,10854144.0
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE,81897.9765625,2155.2099095394738,2198.379638671875,4832872.5
WORD_LEN_IN_SYLS,193625.078125,2151.3897569444443,2343.482421875,5491910.0
WORD_POSITION_IN_PHRASE_BW,111639.59375,1993.564174107143,1938.110595703125,3756272.5
PHRASE_POSITION_IN_UTTERANCE_BW,27331.173828125,1952.2267020089287,2328.847412109375,5423530.5
UTTERANCE_LEN_IN_SYLS,211914.265625,1926.4933238636363,2714.609619140625,7369105.0
PHRASE_LEN_IN_WORDS,331126.6875,1903.0269396551723,2144.947265625,4600799.0
WORD_POSITION_IN_PHRASE,195959.703125,1781.451846590909,1819.4837646484375,3310521.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_STRESSED_SYL,45056.234375,1732.9320913461538,1548.3553466796875,2397404.25
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,84424.3984375,1688.48796875,2080.73193359375,4329445.0
NUM_WORDS_FROM_PREV_CONT_WORD,42755.06640625,1644.4256310096155,1763.8243408203125,3111076.5
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE,1280133.5,1620.4221518987342,1981.420166015625,3926026.0
QUINTPHONE_SEGMENTAL_FEATURES,1308791.0,1615.7913580246914,1974.7557373046875,3899660.0
WORD_POSITION_IN_PHRASE_FW,84320.1171875,1561.4836516203704,1659.2821044921875,2753217.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,150168.28125,1501.6828125,1928.4998779296875,3719111.75
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_ACCENTED_SYL,104862.2421875,1498.03203125,2511.177734375,6306014.0
QUINTPHONE_SEGMENT_VC,28657.5234375,1432.876171875,1680.4495849609375,2823910.75
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_ACCENTED_SYLS,195010.9375,1392.935267857143,2229.15576171875,4969135.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,65743.8515625,1314.87703125,1743.2685546875,3038985.25
PHRASE_LEN_IN_SYLS,324283.0625,1297.13225,1744.25244140625,3042416.5
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_ACCENTED_SYL,90148.6953125,1287.8385044642857,1900.0435791015625,3610165.75
SYL_VOWEL_TYPE,36730.0,1080.2941176470588,1175.5084228515625,1381820.0
SYLLABLE_NUCLEUS,36730.0,1080.2941176470588,1175.5084228515625,1381820.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,27440.396484375,1055.3998647836538,1090.6990966796875,1189624.625
UTTERANCE_LEN_IN_WORDS,50200.828125,1004.0165625,1377.6121826171875,1897815.375
