group name,group sum,group mean,group std per feat,group var
VUV,324297.71875,162148.859375,0.0,0.0
NUM_ACCENTED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,81371.28125,5085.705078125,8360.189453125,69892768.0
SYL_ACCENTED_R,19189.400390625,4797.35009765625,3472.239013671875,12056443.0
SYL_LEN_IN_NO_SEG_EQ_R,75407.71875,4712.982421875,9717.330078125,94426512.0
SYL_ACCENT_TYPE_L,65104.3515625,4650.310825892857,8130.2294921875,66100632.0
PHRASE_POSITION_IN_UTTERANCE_FW_LTE_C,25792.81640625,4298.802734375,1748.822021484375,3058378.25
NUM_WORDS_FROM_NEXT_CONT_WORD_EQ,56731.2734375,4052.233816964286,10917.7802734375,119197936.0
WORD_LEN_IN_NO_SYLS_LTE_L,46424.73828125,3316.052734375,2591.891357421875,6717900.5
QUINTPHONE_SEGMENT_VC_C,12850.55078125,3212.6376953125,853.4306030273438,728343.75
SYL_POSITION_IN_WORD_FW_LTE,44038.96484375,3145.6403459821427,2767.94189453125,7661503.0
SYL_LEN_IN_NO_SEG_EQ_L,49673.8046875,3104.61279296875,2961.938232421875,8773078.0
NUM_SEG_IN_SYL_FW_EQ,49645.234375,3102.8271484375,4370.67919921875,19102836.0
SYL_LEN_IN_NO_SEG_LTE_L,40794.80078125,2913.9143415178573,2702.73828125,7304794.5
NUM_SYLS_FROM_NEXT_STRESSED_SYL_EQ,40649.40625,2903.5290178571427,6247.783203125,39034796.0
WORD_LEN_IN_NO_SYLS_LTE_R,38768.98046875,2769.212890625,1804.6878662109375,3256898.25
WORD_LEN_IN_NO_SYLS_EQ_C,41172.37109375,2573.273193359375,3935.004150390625,15484257.0
QUINTPHONE_SEGMENT_VC_RR,10178.9541015625,2544.738525390625,2067.828857421875,4275916.0
WORD_POSITION_IN_PHRASE_BW_LTE,64553.38671875,2482.822566105769,1864.5068359375,3476385.75
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE_LTE,44289.87890625,2460.548828125,2620.193115234375,6865411.5
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE_LTE,40840.8359375,2268.9353298611113,2491.3515625,6206832.0
PHRASE_LEN_IN_NO_WORDS_LTE_C,62822.6796875,2243.6671316964284,2714.828369140625,7370292.5
UTTERANCE_LEN_IN_NO_PHRASES_EQ,17627.7890625,2203.4736328125,6381.36279296875,40721792.0
NUM_SEG_IN_SYL_BW_EQ,29542.5078125,1846.40673828125,4004.55859375,16036490.0
SYL_STRESSED_R,7149.32275390625,1787.3306884765625,5370.39453125,28841138.0
SYL_POSITION_IN_WORD_FW_EQ,27818.19921875,1738.637451171875,4321.8896484375,18678732.0
NUM_SEG_IN_SYL_FW_LTE,24173.54296875,1726.681640625,1700.550537109375,2891872.25
SYL_POSITION_IN_WORD_BW_LTE,23957.4765625,1711.248325892857,907.75244140625,824014.5
SYL_ACCENT_TYPE_C,23269.73828125,1662.1241629464287,5728.818359375,32819358.0
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE_EQ,33229.8203125,1661.491015625,2201.773681640625,4847807.0
