group name,group sum,group mean,group std per feat,group var
VUV,324297.71875,162148.859375,0.0,0.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,97501.4453125,3250.0481770833335,6565.84423828125,43110308.0
NUM_WORDS_FROM_NEXT_CONT_WORD,70027.2421875,2693.35546875,8153.7255859375,66483244.0
SYLLABLE_POSITION_IN_WORD_FW,71857.1640625,2395.238802083333,3745.674072265625,14030074.0
SYLLABLE_ACCENT_TYPE,90508.7734375,2154.9707961309523,6593.68017578125,43476620.0
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE,74070.6484375,1949.2275904605262,2362.953125,5583548.0
SYLLABLE_LEN_IN_SEGMENTS,171719.734375,1907.997048611111,5329.05126953125,28398786.0
SEG_POS_IN_SYL,116248.75,1874.9798387096773,3430.46826171875,11768113.0
UTTERANCE_LEN_IN_PHRASES,26220.6875,1872.90625,5119.4521484375,26208790.0
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE,70575.5390625,1857.2510279605262,3234.321044921875,10460832.0
SYLLABLE_ACCENTED,25915.06640625,1851.076171875,3186.346435546875,10152803.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,94664.421875,1690.4361049107142,5506.3642578125,30320050.0
SYLLABLE_POSITION_IN_WORD,100354.8046875,1672.580078125,4135.2392578125,17100202.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_STRESSED_SYL,42568.578125,1637.2530048076924,5164.63427734375,26673448.0
PHRASE_POSITION_IN_UTTERANCE_FW,21304.107421875,1521.721958705357,3637.805419921875,13233629.0
SYLLABLE_POSITION_IN_PHRASE_FW,117391.859375,1431.6080411585365,4857.70947265625,23597340.0
WORD_POSITION_IN_PHRASE_BW,78312.703125,1398.441127232143,2646.791259765625,7005504.5
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_STRESSED_SYLS,72277.4140625,1389.9502704326924,3996.758056640625,15974074.0
WORD_LEN_IN_SYLS,120400.0390625,1337.7782118055557,3222.50439453125,10384535.0
WORD_POSITION_IN_PHRASE,135263.53125,1229.6684659090909,2416.850341796875,5841165.0
PHRASE_LEN_IN_WORDS,212044.875,1218.6487068965516,2845.27197265625,8095572.0
SYLLABLE_STRESS,16165.85546875,1154.7039620535713,3511.33349609375,12329463.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_STRESSED_SYL,29708.8359375,1142.6475360576924,2269.885986328125,5152382.5
SYLLABLE_POSITION_IN_PHRASE,180325.953125,1099.548494664634,4765.978515625,22714550.0
WORD_POSITION_IN_PHRASE_FW,56950.83984375,1054.6451822916667,2138.581298828125,4573530.0
SYLLABLE_POSITION_IN_WORD_BW,28497.6484375,949.9216145833333,4373.31201171875,19125858.0
NUM_WORDS_FROM_PREV_CONT_WORD,22036.29296875,847.5497295673077,2542.107177734375,6462309.0
UTTERANCE_LEN_IN_SYLS,85342.15625,775.837784090909,3833.956298828125,14699221.0
SYLLABLE_POSITION_IN_PHRASE_BW,62934.12890625,767.4893769054878,4648.7880859375,21611232.0
QUINTPHONE_SEGMENT_VC,15333.994140625,766.69970703125,2280.63427734375,5201293.0
QUINTPHONE_SEGMENTAL_FEATURES,446280.0,550.9629629629629,3178.697265625,10104116.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE,430945.90625,545.5011471518987,3197.972900390625,10227031.0
PHRASE_LEN_IN_SYLS,117104.0,468.416,2561.206298828125,6559778.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_ACCENTED_SYL,31797.5625,454.25089285714284,2592.70361328125,6722112.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_ACCENTED_SYLS,51613.453125,368.6675223214286,3046.332275390625,9280141.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_ACCENTED_SYL,19815.88671875,283.08409598214286,3438.53466796875,11823521.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,2714.662109375,54.2932421875,4118.4462890625,16961600.0
SYL_VOWEL_TYPE,254.72314453125,7.491857192095588,2293.85009765625,5261748.0
SYLLABLE_NUCLEUS,254.72314453125,7.491857192095588,2293.85009765625,5261748.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,-9643.3486328125,-96.433486328125,3776.268798828125,14260206.0
UTTERANCE_LEN_IN_WORDS,-5171.0576171875,-103.42115234375,2491.62744140625,6208207.5
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,-2837.025390625,-109.11636117788461,3084.973388671875,9517061.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,-12358.0087890625,-247.16017578125,3393.13623046875,11513373.0
PHRASE_POSITION_IN_UTTERANCE_BW,-54858.6484375,-3918.4748883928573,7922.90625,62772444.0
