group name,group mean,group std per feat,group sum,group var
VUV,172585.265625,0.0,172585.265625,0.0
SYL_LEN_IN_NO_SEG_EQ_R,9491.4755859375,5272.669921875,75931.8046875,27801048.0
PHRASE_POSITION_IN_UTTERANCE_BW_LTE_C,8597.589192708334,3046.2802734375,25792.767578125,9279824.0
PHRASE_POSITION_IN_UTTERANCE_BW_EQ_C,7241.931640625,4752.232421875,28967.7265625,22583712.0
NUM_ACCENTED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,6575.169921875,7433.86669921875,52601.359375,55262376.0
SYL_ACCENT_TYPE_L,6150.497767857143,7126.48876953125,43053.484375,50786844.0
NUM_WORDS_FROM_NEXT_CONT_WORD_EQ,6120.320870535715,9980.6005859375,42842.24609375,99612392.0
NUM_SYLS_FROM_NEXT_STRESSED_SYL_EQ,5987.0234375,3463.604736328125,41909.1640625,11996558.0
UTTERANCE_LEN_IN_NO_PHRASES_EQ,5527.07275390625,4065.68408203125,22108.291015625,16529787.0
SYL_STRESSED_R,5416.36865234375,1784.14794921875,10832.7373046875,3183184.0
SYL_ACCENTED_R,4910.77001953125,3392.051513671875,9821.5400390625,11506014.0
SYL_POSITION_IN_WORD_BW_EQ,4856.48583984375,3382.05517578125,38851.88671875,11438298.0
SYL_ACCENT_TYPE_C,4797.642299107143,3615.7158203125,33583.49609375,13073401.0
SYL_POSITION_IN_PHRASE_FW_EQ,4717.029389880952,4073.06689453125,99057.6171875,16589873.0
NUM_STRESSED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,4388.971754807692,3077.241943359375,57056.6328125,9469418.0
PHRASE_POSITION_IN_UTTERANCE_FW_LTE_C,4337.5751953125,1735.94189453125,13012.7255859375,3013494.25
SYL_POSITION_IN_PHRASE_BW_EQ,4197.151041666667,3764.897705078125,88140.171875,14174455.0
SYL_POSITION_IN_WORD_FW_LTE,4117.157087053572,869.3731079101562,28820.099609375,755809.625
NUM_SEG_IN_SYL_BW_EQ,4081.2412109375,1874.4873046875,32649.9296875,3513702.5
SYL_POSITION_IN_WORD_FW_EQ,4052.2314453125,2384.12353515625,32417.8515625,5684045.0
WORD_LEN_IN_NO_SYLS_EQ_C,3968.43115234375,2633.417236328125,31747.44921875,6934886.0
SYL_LEN_IN_NO_SEG_LTE_R,3899.4601004464284,3909.315673828125,27296.220703125,15282749.0
NUM_SEG_IN_SYL_FW_EQ,3866.6826171875,3809.735595703125,30933.4609375,14514086.0
SYL_LEN_IN_NO_SEG_EQ_L,3760.19140625,2168.125244140625,30081.53125,4700767.5
NUM_SYLS_FROM_NEXT_ACCENTED_SYL_EQ,3686.8420138888887,2580.075439453125,66363.15625,6656789.0
SYL_LEN_IN_NO_SEG_LTE_L,3671.8967633928573,1670.3358154296875,25703.27734375,2790021.75
SYL_ACCENT_TYPE_R,3472.90625,3129.187744140625,24310.34375,9791816.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_C,3425.333984375,2494.215576171875,274026.71875,6221111.5
WORD_LEN_IN_NO_SYLS_LTE_L,3399.6554129464284,2549.546875,23797.587890625,6500189.0
PHRASE_LEN_IN_NO_SYLS_EQ_L,3285.0059523809523,2542.64453125,68985.125,6465041.5
UTTERANCE_LEN_IN_NO_SYLS_EQ,3262.5471540178573,2261.294189453125,91351.3203125,5113451.5
PHRASE_LEN_IN_NO_WORDS_LTE_C,3250.2957589285716,1473.29931640625,45504.140625,2170610.75
QUINTPHONE_SEGMENT_VC_C,3235.69140625,838.890869140625,6471.3828125,703737.875
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE_EQ,3210.0357421875,2256.73583984375,32100.357421875,5092857.0
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE_LTE,3206.7567274305557,1689.88623046875,28860.810546875,2855715.5
WORD_LEN_IN_NO_SYLS_LTE_R,3198.677734375,1102.0030517578125,22390.744140625,1214410.625
PHRASE_LEN_IN_NO_WORDS_EQ_C,3114.7481770833333,2177.235595703125,46721.22265625,4740355.0
