group name,group mean,group std per feat,group sum,group var
VUV,172585.265625,0.0,172585.265625,0.0
PHRASE_POSITION_IN_UTTERANCE_BW,7822.928013392857,4163.1865234375,54760.49609375,17332122.0
SYLLABLE_ACCENT_TYPE,4807.015625,5074.01708984375,100947.328125,25745648.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,4447.8796875,5962.98876953125,66718.1953125,35557236.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_STRESSED_SYL,4308.114182692308,3340.9541015625,56005.484375,11161975.0
SYLLABLE_LEN_IN_SEGMENTS,4096.516666666666,3991.312744140625,184343.25,15930578.0
UTTERANCE_LEN_IN_PHRASES,4085.535714285714,3740.58984375,28598.75,13992013.0
SYLLABLE_POSITION_IN_WORD_FW,4082.530208333333,1839.9051513671875,61237.953125,3385250.75
NUM_WORDS_FROM_NEXT_CONT_WORD,3885.7899639423076,7718.24951171875,50515.26953125,59571376.0
SYLLABLE_POSITION_IN_PHRASE_FW,3840.779344512195,3426.572509765625,157471.953125,11741400.0
SYLLABLE_POSITION_IN_WORD,3758.8278645833334,2485.55322265625,112764.8359375,6177974.5
SYLLABLE_POSITION_IN_PHRASE,3715.6604420731705,3305.05029296875,304684.15625,10923358.0
SYLLABLE_POSITION_IN_PHRASE_BW,3590.5415396341464,3173.95703125,147212.203125,10074004.0
PHRASE_POSITION_IN_UTTERANCE_FW,3553.9444754464284,1801.8114013671875,24877.611328125,3246524.5
SYLLABLE_POSITION_IN_WORD_BW,3435.126041666667,2959.920654296875,51526.890625,8761130.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,3413.468191964286,4757.97705078125,95577.109375,22638346.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,3322.6825,2629.762451171875,83067.0625,6915650.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_STRESSED_SYLS,3315.665564903846,2695.1240234375,86207.3046875,7263693.5
SYLLABLE_STRESS,3303.588448660714,1819.1669921875,23125.119140625,3309368.5
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE,3208.4825246710525,2008.273193359375,60961.16796875,4033161.25
SEG_POS_IN_SYL,3133.2769657258063,2444.953369140625,97131.5859375,5977797.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,3099.79875,2323.908935546875,154989.9375,5400553.0
UTTERANCE_LEN_IN_SYLS,3077.1485795454546,2548.16357421875,169243.171875,6493137.0
SYLLABLE_ACCENTED,3043.947265625,2227.860595703125,21307.630859375,4963362.5
WORD_LEN_IN_SYLS,2965.001388888889,2003.3262939453125,133425.0625,4013316.25
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,2876.9146875,1945.79052734375,71922.8671875,3786100.75
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_ACCENTED_SYL,2712.9808035714286,2225.2724609375,94954.328125,4951838.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE,2695.3430379746837,1976.53515625,1064660.5,3906691.0
QUINTPHONE_SEGMENTAL_FEATURES,2680.6197530864197,1965.1141357421875,1085651.0,3861673.75
WORD_POSITION_IN_PHRASE_BW,2588.688058035714,1651.9619140625,72483.265625,2728978.25
PHRASE_LEN_IN_WORDS,2587.4053520114944,1866.91259765625,225104.265625,3485362.5
NUM_WORDS_FROM_PREV_CONT_WORD,2441.30078125,1314.7279052734375,31736.91015625,1728509.5
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_ACCENTED_SYLS,2417.2033482142856,2014.4637451171875,169204.234375,4058064.0
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE,2361.1912006578946,2070.014404296875,44862.6328125,4284960.0
WORD_POSITION_IN_PHRASE,2333.235227272727,1528.4959716796875,128327.9375,2336300.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_STRESSED_SYL,2323.216496394231,1181.314208984375,30201.814453125,1395503.125
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,2219.9161658653848,2252.27587890625,28858.91015625,5072746.5
SYLLABLE_NUCLEUS,2153.095588235294,1048.80859375,36602.625,1099999.5
SYL_VOWEL_TYPE,2153.095588235294,1048.80859375,36602.625,1099999.5
PHRASE_LEN_IN_SYLS,2125.84875,1725.3829345703125,265731.09375,2976946.25
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_ACCENTED_SYL,2121.4261160714286,1728.965576171875,74249.9140625,2989322.0
UTTERANCE_LEN_IN_WORDS,2111.4540625,1531.242431640625,52786.3515625,2344703.25
QUINTPHONE_SEGMENT_VC,2099.052734375,1317.8397216796875,20990.52734375,1736701.375
WORD_POSITION_IN_PHRASE_FW,2068.3211805555557,1338.36669921875,55844.671875,1791225.5
