group name,group mean,group std per feat,group sum,group var
VUV,172585.265625,0.0,172585.265625,0.0
PHRASE_POSITION,5688.436383928572,3852.969970703125,79638.109375,14845377.0
SYLLABLE_ACCENT_TYPE,4807.015625,5074.01708984375,100947.328125,25745648.0
SYLLABLE_LEN_IN_SEGMENTS,4096.516666666666,3991.312744140625,184343.25,15930578.0
SYLLABLE_POSITION,3727.223214285714,3106.869384765625,417449.0,9652638.0
SYLLABLE_STRESS,3303.588448660714,1819.1669921875,23125.119140625,3309368.5
SYLLABLE_NEIGHBOURHOOD,3212.3978365384614,3407.509033203125,250567.03125,11611118.0
RELATIVE_WORD_POSITION,3163.545372596154,5583.15185546875,82252.1796875,31171582.0
SEG_POS_IN_SYL,3133.2769657258063,2444.953369140625,97131.5859375,5977797.0
SYLLABLE_ACCENTED,3043.947265625,2227.860595703125,21307.630859375,4963362.5
WORD_LEN_IN_SYLS,2965.001388888889,2003.3262939453125,133425.0625,4013316.25
UTTERANCE_LEN,2880.784662356322,2493.120849609375,250628.265625,6215651.5
WORD_SURROUNDINGS,2784.836554276316,2082.915283203125,105823.7890625,4338536.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE,2695.3430379746837,1976.53515625,1064660.5,3906691.0
QUINTPHONE_SEGMENTAL_FEATURES,2680.6197530864197,1965.1141357421875,1085651.0,3861673.75
RELATIVE_SYLLABLE_POSITION,2660.5369466145835,2255.14306640625,255411.546875,5085670.0
WORD_POSITION,2333.235227272727,1528.4959716796875,128327.9375,2336300.0
PHRASE_LEN,2315.2612028301887,1799.2042236328125,490835.375,3237135.75
SYLLABLE_NUCLEUS,2153.095588235294,1048.80859375,36602.625,1099999.5
QUINTPHONE_SEGMENT_VC,2099.052734375,1317.8397216796875,20990.52734375,1736701.375
