group name,group mean,group std per feat,group sum,group var
PHRASE_POSITION_IN_UTTERANCE_BW_LTE_C,-8585.082682291666,3045.233154296875,-25755.248046875,9273445.0
VUV,-5218.21044921875,0.0,-5218.21044921875,0.0
PHRASE_POSITION_IN_UTTERANCE_BW_EQ_C,-3834.91845703125,6631.361328125,-15339.673828125,43974956.0
NUM_STRESSED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,-2904.406550480769,3333.9755859375,-37757.28515625,11115394.0
SYL_LEN_IN_NO_SEG_LTE_R,-2516.9363839285716,4481.845703125,-17618.5546875,20086942.0
SYL_LEN_IN_NO_SEG_EQ_R,-2389.2451171875,5343.24951171875,-19113.9609375,28550316.0
SYL_POSITION_IN_WORD_BW_EQ,-2286.362060546875,3094.3544921875,-18290.896484375,9575029.0
WORD_LEN_IN_NO_SYLS_EQ_L,-2035.3739013671875,2145.8544921875,-16282.9912109375,4604691.0
SYL_POSITION_IN_PHRASE_BW_EQ,-1900.6707589285713,2656.6953125,-39914.0859375,7058029.5
SYL_STRESSED_R,-1814.5189208984375,1793.123779296875,-3629.037841796875,3215292.75
PHRASE_POSITION_IN_UTTERANCE_FW_EQ_C,-1763.6541748046875,1682.9500732421875,-7054.61669921875,2832321.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_C,-1743.4732421875,2556.05859375,-139477.859375,6533435.5
NUM_STRESSED_SYLS_BEFORE_CURRENT_SYL_IN_CURRENT_PHRASE_LTE,-1722.1481119791667,2509.6044921875,-20665.77734375,6298114.5
QUINTPHONE_SEGMENT_VC_LL,-1678.453369140625,293.15509033203125,-3356.90673828125,85939.90625
UTTERANCE_LEN_IN_NO_PHRASES_EQ,-1661.799560546875,2388.11572265625,-6647.1982421875,5703096.5
SYL_ACCENT_TYPE_R,-1660.2140066964287,2445.8603515625,-11621.498046875,5982233.0
SYL_STRESSED_L,-1634.9439697265625,1600.2469482421875,-3269.887939453125,2560790.25
NUM_ACCENTED_SYLS_BEFORE_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,-1586.6064453125,3228.10498046875,-11106.2451171875,10420662.0
SYL_ACCENT_TYPE_C,-1567.759068080357,2585.87255859375,-10974.3134765625,6686736.5
SYL_POSITION_IN_PHRASE_FW_EQ,-1549.6112351190477,3018.906982421875,-32541.8359375,9113799.0
NUM_SYLS_FROM_NEXT_STRESSED_SYL_EQ,-1541.7465122767858,3112.154541015625,-10792.2255859375,9685506.0
NUM_STRESSED_SYLS_BEFORE_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,-1414.2415865384614,1734.2630615234375,-18385.140625,3007668.25
UTTERANCE_LEN_IN_NO_WORDS_LTE,-1400.4033203125,1717.577392578125,-16804.83984375,2950072.0
NUM_SYLS_FROM_NEXT_ACCENTED_SYL_LTE,-1389.6511948529412,1253.6119384765625,-23624.0703125,1571543.0
UTTERANCE_LEN_IN_NO_SYLS_EQ,-1300.9066685267858,1982.76025390625,-36425.38671875,3931338.25
PHRASE_LEN_IN_NO_WORDS_EQ_C,-1287.0044270833334,1419.6759033203125,-19305.06640625,2015479.5
SYL_POSITION_IN_WORD_FW_EQ,-1156.79736328125,1374.4169921875,-9254.37890625,1889022.0
PHRASE_LEN_IN_NO_SYLS_EQ_L,-1151.400855654762,1727.9893798828125,-24179.41796875,2985947.25
NUM_WORDS_FROM_PREV_CONT_WORD_EQ,-1120.8438197544642,1200.7967529296875,-7845.90673828125,1441912.875
NUM_SEG_IN_SYL_BW_EQ,-1117.417724609375,1504.37451171875,-8939.341796875,2263142.5
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_LL,-1107.3361328125,1677.2510986328125,-88586.890625,2813171.25
NUM_SYLS_FROM_NEXT_STRESSED_SYL_LTE,-1094.7283528645833,2070.795166015625,-6568.3701171875,4288192.5
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_L,-1075.1498046875,1244.1414794921875,-86011.984375,1547888.125
SYL_VOWEL_TYPE,-1072.8015854779412,1341.287353515625,-18237.626953125,1799051.75
QUINTPHONE_SEGMENT_VC_R,-1053.066162109375,1029.877685546875,-2106.13232421875,1060648.125
NUM_SYLS_FROM_NEXT_ACCENTED_SYL_EQ,-1049.949978298611,1583.4730224609375,-18899.099609375,2507387.0
NUM_WORDS_FROM_NEXT_CONT_WORD_EQ,-1034.0455496651787,1274.695068359375,-7238.31884765625,1624847.375
WORD_POSITION_IN_PHRASE_BW_EQ,-1015.137109375,1289.2073974609375,-15227.056640625,1662055.75
UTTERANCE_LEN_IN_NO_SYLS_LTE,-994.8396267361111,1564.936279296875,-26860.669921875,2449025.5
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE_EQ,-947.87587890625,1218.6419677734375,-9478.7587890625,1485088.125
PHRASE_LEN_IN_NO_SYLS_EQ_C,-945.6186079545455,1133.3375244140625,-20803.609375,1284454.0
PHRASE_LEN_IN_NO_WORDS_LTE_L,-918.7271634615385,1332.660400390625,-11943.453125,1775983.75
SYL_POSITION_IN_PHRASE_BW_LTE,-897.9240234375,1516.7135009765625,-17958.48046875,2300419.75
WORD_LEN_IN_NO_SYLS_EQ_R,-876.5176391601562,1125.486572265625,-7012.14111328125,1266720.0
SYL_ACCENTED_C,-855.0712076822916,1124.53564453125,-2565.213623046875,1264580.375
PHRASE_LEN_IN_NO_SYLS_EQ_R,-853.930896577381,1543.63037109375,-17932.548828125,2382794.75
WORD_LEN_IN_NO_SYLS_LTE_C,-848.7162388392857,634.7845458984375,-5941.013671875,402951.4375
NUM_SYLS_FROM_PREV_ACCENTED_SYL_EQ,-848.4410264756945,1118.22314453125,-15271.9384765625,1250422.875
SYL_POSITION_IN_PHRASE_FW_LTE,-842.309375,1312.78662109375,-16846.1875,1723408.625
UTTERANCE_LEN_IN_NO_WORDS_EQ,-837.0072115384615,1303.3817138671875,-10881.09375,1698803.75
NUM_SYLS_FROM_PREV_ACCENTED_SYL_LTE,-817.8600643382352,1113.5076904296875,-13903.62109375,1239899.25
PHRASE_LEN_IN_NO_SYLS_LTE_C,-803.8244977678571,1094.859375,-16880.314453125,1198717.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_R,-803.1961137820513,1395.3857421875,-62649.296875,1947101.5
NUM_SYLS_FROM_PREV_STRESSED_SYL_EQ,-785.01513671875,1158.157470703125,-5495.10595703125,1341328.625
NUM_SEG_IN_SYL_BW_LTE,-754.7803955078125,1024.5531005859375,-6038.2431640625,1049709.125
SYL_ACCENT_TYPE_L,-750.0929129464286,913.1004638671875,-5250.650390625,833752.4375
SYL_ACCENTED_L,-748.20751953125,652.1358032226562,-1496.4150390625,425281.125
NUM_ACCENTED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,-744.7327880859375,910.4307861328125,-5957.8623046875,828884.25
PHRASE_LEN_IN_NO_SYLS_LTE_R,-730.15576171875,1014.2471923828125,-14603.115234375,1028697.375
WORD_LEN_IN_NO_SYLS_EQ_C,-697.578369140625,925.1762084960938,-5580.626953125,855951.0625
NUM_ACCENTED_SYLS_BEFORE_CURRENT_SYL_IN_CURRENT_PHRASE_LTE,-672.0786946614584,787.6063232421875,-4032.47216796875,620323.6875
SYL_LEN_IN_NO_SEG_LTE_C,-643.6184430803571,654.1603393554688,-4505.3291015625,427925.78125
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_RR,-621.658887987013,1440.4927978515625,-47867.734375,2075019.625
PHRASE_LEN_IN_NO_WORDS_EQ_R,-537.7284545898438,907.7737426757812,-8603.6552734375,824053.125
PHRASE_LEN_IN_NO_WORDS_LTE_R,-524.1407877604166,967.5299072265625,-7862.11181640625,936114.0625
WORD_POSITION_IN_PHRASE_FW_EQ,-517.4742954799107,693.2894287109375,-7244.64013671875,480650.21875
QUINTPHONE_SEGMENT_VC_L,-510.034423828125,316.5845947265625,-1020.06884765625,100225.8125
PHRASE_LEN_IN_NO_WORDS_LTE_C,-503.31375558035717,920.5672607421875,-7046.392578125,847444.125
WORD_POSITION_IN_PHRASE_FW_LTE,-495.38375150240387,611.1121215820312,-6439.98876953125,373458.03125
SYL_POSITION_IN_WORD_FW_LTE,-485.75819614955356,1167.625732421875,-3400.307373046875,1363349.75
PHRASE_LEN_IN_NO_SYLS_LTE_L,-459.527734375,1085.3721923828125,-9190.5546875,1178032.75
NUM_ACCENTED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_LTE,-432.26792689732144,532.7713012695312,-3025.87548828125,283845.25
NUM_WORDS_FROM_PREV_CONT_WORD_LTE,-418.9130859375,430.3332214355469,-2513.478515625,185186.6875
NUM_SEG_IN_SYL_FW_EQ,-381.9273681640625,358.9757995605469,-3055.4189453125,128863.625
SYL_LEN_IN_NO_SEG_LTE_L,-378.99135044642856,581.4810791015625,-2652.939453125,338120.21875
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE_LTE,-373.1039767795139,986.3413696289062,-3357.935791015625,972869.25
UTTERANCE_LEN_IN_NO_PHRASES_LTE,-365.6677652994792,351.2892761230469,-1097.0032958984375,123404.15625
NUM_SYLS_FROM_PREV_STRESSED_SYL_LTE,-363.0985514322917,488.29095458984375,-2178.59130859375,238428.0625
PHRASE_LEN_IN_NO_WORDS_EQ_L,-341.44398716517856,386.7687683105469,-4780.2158203125,149590.078125
SYL_LEN_IN_NO_SEG_EQ_C,-341.0713806152344,501.2535705566406,-2728.571044921875,251255.140625
SYL_LEN_IN_NO_SEG_EQ_L,-327.789306640625,765.1837768554688,-2622.314453125,585506.25
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE_EQ,-263.1064453125,382.09869384765625,-2631.064453125,145999.421875
NUM_STRESSED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_LTE,-258.1287027994792,411.4786682128906,-3097.54443359375,169314.703125
WORD_LEN_IN_NO_SYLS_LTE_R,-214.73289271763392,446.3693542480469,-1503.1302490234375,199245.59375
NUM_SEG_IN_SYL_FW_LTE,-210.08609444754464,373.53314208984375,-1470.6026611328125,139527.015625
SYL_STRESSED_C,-207.3904825846354,239.69020080566406,-622.1714477539062,57451.39453125
