group name,group mean,group std per feat,group sum,group var
PHRASE_POSITION_IN_UTTERANCE_BW,-5870.703125,5884.62158203125,-41094.921875,34628772.0
VUV,-5218.21044921875,0.0,-5218.21044921875,0.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,-1634.193125,2758.47265625,-40854.828125,7609171.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,-1598.115,2472.09619140625,-79905.75,6111260.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,-1562.03671875,2147.264892578125,-39050.91796875,4610746.0
SYLLABLE_POSITION_IN_PHRASE_BW,-1411.5259146341464,2233.48828125,-57872.5625,4988470.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_STRESSED_SYL,-1335.430438701923,2691.486328125,-17360.595703125,7244099.0
SYLLABLE_ACCENT_TYPE,-1326.021949404762,2160.59716796875,-27846.4609375,4668180.0
SYLLABLE_POSITION_IN_PHRASE,-1308.0559260670732,2306.903564453125,-107260.5859375,5321804.5
SYLLABLE_POSITION_IN_WORD_BW,-1242.6020833333334,2520.474365234375,-18639.03125,6352790.5
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_ACCENTED_SYL,-1214.94765625,1442.7958984375,-42523.16796875,2081659.875
SYLLABLE_POSITION_IN_PHRASE_FW,-1204.5860327743903,2373.547119140625,-49388.02734375,5633725.5
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,-1164.5166766826924,2470.886962890625,-15138.716796875,6105282.5
UTTERANCE_LEN_IN_SYLS,-1150.6556107954545,1796.4044189453125,-63286.05859375,3227068.75
UTTERANCE_LEN_IN_WORDS,-1107.43734375,1542.2838134765625,-27685.93359375,2378639.25
UTTERANCE_LEN_IN_PHRASES,-1106.3145228794642,1929.5643310546875,-7744.20166015625,3723218.5
SYLLABLE_LEN_IN_SEGMENTS,-1094.259375,3065.55224609375,-49241.671875,9397611.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE,-1074.9208069620254,1772.23974609375,-424593.71875,3140833.75
SYLLABLE_STRESS,-1074.4424525669642,1497.789306640625,-7521.09716796875,2243372.75
SYL_VOWEL_TYPE,-1072.8015854779412,1341.287353515625,-18237.626953125,1799051.75
SYLLABLE_NUCLEUS,-1072.8015854779412,1341.287353515625,-18237.626953125,1799051.75
QUINTPHONE_SEGMENTAL_FEATURES,-1064.8284722222222,1755.9140625,-431255.53125,3083234.25
SYLLABLE_POSITION_IN_WORD,-1043.1238932291667,2023.382568359375,-31293.716796875,4094077.25
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_ACCENTED_SYLS,-1024.2675223214285,1303.82568359375,-71698.7265625,1699961.5
PHRASE_POSITION_IN_UTTERANCE_FW,-1016.1111188616071,1537.394287109375,-7112.77783203125,2363581.25
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_STRESSED_SYLS,-962.857421875,2049.177734375,-25034.29296875,4199129.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,-861.5161830357143,1798.6011962890625,-24122.453125,3234966.25
SYLLABLE_POSITION_IN_WORD_FW,-843.645703125,1325.0589599609375,-12654.685546875,1755781.375
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_ACCENTED_SYL,-833.5873883928572,1116.0399169921875,-29175.55859375,1245545.0
PHRASE_LEN_IN_SYLS,-828.7165,1313.75244140625,-103589.5625,1725945.375
WORD_LEN_IN_SYLS,-813.6114583333333,1306.5291748046875,-36612.515625,1707018.625
NUM_WORDS_FROM_PREV_CONT_WORD,-796.8757512019231,992.1356811523438,-10359.384765625,984333.25
PHRASE_LEN_IN_WORDS,-684.3780980603449,1090.718505859375,-59540.89453125,1189666.875
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE,-675.6154913651316,1151.00830078125,-12836.6943359375,1324820.0
QUINTPHONE_SEGMENT_VC,-666.176953125,803.1732788085938,-6661.76953125,645087.3125
SEG_POS_IN_SYL,-629.1486265120968,1020.154541015625,-19503.607421875,1040715.25
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,-598.9158203125,773.8429565429688,-8983.7373046875,598832.875
SYLLABLE_ACCENTED,-596.4362444196429,884.5391845703125,-4175.0537109375,782409.5625
NUM_WORDS_FROM_NEXT_CONT_WORD,-596.2179612379807,1048.879150390625,-7750.83349609375,1100147.5
WORD_POSITION_IN_PHRASE_BW,-595.1232561383929,1054.0240478515625,-16663.451171875,1110966.75
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_STRESSED_SYL,-590.2844050480769,936.2359008789062,-7673.697265625,876537.6875
WORD_POSITION_IN_PHRASE,-551.7832386363636,882.1621704101562,-30348.078125,778210.125
WORD_POSITION_IN_PHRASE_FW,-506.8381076388889,655.1038208007812,-13684.62890625,429161.03125
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE,-205.98157380756578,318.4080505371094,-3913.64990234375,101383.6953125
