group name,group mean,group std per feat,group sum,group var
VUV,-5218.21044921875,0.0,-5218.21044921875,0.0
PHRASE_POSITION,-3443.4070870535716,4938.4150390625,-48207.69921875,24387942.0
SYLLABLE_NEIGHBOURHOOD,-1333.694811698718,2281.1396484375,-104028.1953125,5203598.5
SYLLABLE_ACCENT_TYPE,-1326.021949404762,2160.59716796875,-27846.4609375,4668180.0
SYLLABLE_POSITION,-1237.092075892857,2237.568603515625,-138554.3125,5006713.0
UTTERANCE_LEN,-1134.668911637931,1738.85791015625,-98716.1953125,3023626.75
SYLLABLE_LEN_IN_SEGMENTS,-1094.259375,3065.55224609375,-49241.671875,9397611.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE,-1074.9208069620254,1772.23974609375,-424593.71875,3140833.75
SYLLABLE_STRESS,-1074.4424525669642,1497.789306640625,-7521.09716796875,2243372.75
SYLLABLE_NUCLEUS,-1072.8015854779412,1341.287353515625,-18237.626953125,1799051.75
QUINTPHONE_SEGMENTAL_FEATURES,-1064.8284722222222,1755.9140625,-431255.53125,3083234.25
RELATIVE_SYLLABLE_POSITION,-1007.6355794270834,1541.9351806640625,-96733.015625,2377564.0
WORD_LEN_IN_SYLS,-813.6114583333333,1306.5291748046875,-36612.515625,1707018.625
PHRASE_LEN,-769.4832694575472,1229.1907958984375,-163130.453125,1510909.875
RELATIVE_WORD_POSITION,-696.546875,1025.81982421875,-18110.21875,1052306.25
QUINTPHONE_SEGMENT_VC,-666.176953125,803.1732788085938,-6661.76953125,645087.3125
SEG_POS_IN_SYL,-629.1486265120968,1020.154541015625,-19503.607421875,1040715.25
SYLLABLE_ACCENTED,-596.4362444196429,884.5391845703125,-4175.0537109375,782409.5625
WORD_POSITION,-551.7832386363636,882.1621704101562,-30348.078125,778210.125
WORD_SURROUNDINGS,-440.79857113486844,876.4934692382812,-16750.345703125,768240.8125
