group name,group mean,group std per feat,group sum,group var
VUV,167367.25,0.0,167367.25,0.0
SYL_LEN_IN_NO_SEG_EQ_R,7102.2265625,5706.44140625,56817.8125,32563472.0
NUM_ACCENTED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,5830.43701171875,7858.03271484375,46643.49609375,61748676.0
SYL_ACCENT_TYPE_L,5400.405133928572,7590.12451171875,37802.8359375,57609992.0
NUM_WORDS_FROM_NEXT_CONT_WORD_EQ,5086.278459821428,10381.7294921875,35603.94921875,107780304.0
SYL_ACCENTED_R,4854.06005859375,3432.145751953125,9708.1201171875,11779625.0
NUM_SYLS_FROM_NEXT_STRESSED_SYL_EQ,4445.275111607143,3978.712158203125,31116.92578125,15830151.0
PHRASE_POSITION_IN_UTTERANCE_FW_LTE_C,4318.191080729167,1742.3841552734375,12954.5732421875,3035902.75
UTTERANCE_LEN_IN_NO_PHRASES_EQ,3865.269775390625,4787.7587890625,15461.0791015625,22922636.0
SYL_POSITION_IN_WORD_FW_LTE,3631.3992745535716,1686.80322265625,25419.794921875,2845305.25
SYL_STRESSED_R,3601.851806640625,3577.272216796875,7203.70361328125,12796877.0
NUM_SEG_IN_SYL_FW_EQ,3484.75537109375,4084.067138671875,27878.04296875,16679605.0
SYL_LEN_IN_NO_SEG_EQ_L,3432.40234375,2480.2060546875,27459.21875,6151421.5
PHRASE_POSITION_IN_UTTERANCE_BW_EQ_C,3407.014892578125,2133.75048828125,13628.0595703125,4552891.0
WORD_LEN_IN_NO_SYLS_LTE_L,3357.8543526785716,2570.48779296875,23504.98046875,6607408.0
SYL_LEN_IN_NO_SEG_LTE_L,3292.9054129464284,2170.08984375,23050.337890625,4709289.5
WORD_LEN_IN_NO_SYLS_EQ_C,3270.8525390625,3217.7041015625,26166.8203125,10353620.0
SYL_ACCENT_TYPE_C,3229.8819754464284,4032.32177734375,22609.173828125,16259618.0
QUINTPHONE_SEGMENT_VC_C,3224.16357421875,846.1600341796875,6448.3271484375,715986.8125
SYL_POSITION_IN_PHRASE_FW_EQ,3167.418898809524,4095.87109375,66515.796875,16776160.0
WORD_LEN_IN_NO_SYLS_LTE_R,2983.9444754464284,1427.02734375,20887.611328125,2036407.125
NUM_SEG_IN_SYL_BW_EQ,2963.824951171875,2740.79541015625,23710.599609375,7511960.0
SYL_POSITION_IN_WORD_FW_EQ,2895.43505859375,3208.172607421875,23163.48046875,10292371.0
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE_LTE,2833.6532118055557,1971.7235107421875,25502.87890625,3887693.75
PHRASE_LEN_IN_NO_WORDS_LTE_C,2746.9815848214284,1980.657958984375,38457.7421875,3923005.75
NUM_SYLS_FROM_NEXT_ACCENTED_SYL_EQ,2636.8914930555557,3076.745361328125,47464.046875,9466362.0
QUINTPHONE_SEGMENT_VC_RR,2622.541748046875,1996.747314453125,5245.08349609375,3986999.75
WORD_POSITION_IN_PHRASE_BW_LTE,2593.3143028846152,1747.0565185546875,33713.0859375,3052206.5
SYL_POSITION_IN_WORD_BW_EQ,2570.12353515625,3638.4951171875,20560.98828125,13238647.0
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE_LTE,2411.4450954861113,2373.857177734375,21703.005859375,5635198.0
SYL_POSITION_IN_PHRASE_BW_EQ,2296.4802827380954,3929.830078125,48226.0859375,15443564.0
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE_EQ,2262.1599609375,2756.538330078125,22621.599609375,7598504.0
PHRASE_LEN_IN_NO_WORDS_EQ_R,2198.341796875,2195.727294921875,35173.46875,4821218.0
PHRASE_LEN_IN_NO_SYLS_EQ_L,2133.6052827380954,2782.061767578125,44805.7109375,7739867.5
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_RR,2098.9529220779223,1955.1634521484375,161619.375,3822664.25
SYL_POSITION_IN_PHRASE_FW_LTE,2078.40703125,2539.81787109375,41568.140625,6450675.0
SYL_POSITION_IN_PHRASE_BW_LTE,2055.6771484375,2450.623291015625,41113.54296875,6005555.0
UTTERANCE_LEN_IN_NO_SYLS_EQ,1961.6410435267858,2423.736572265625,54925.94921875,5874498.5
NUM_SYLS_FROM_PREV_STRESSED_SYL_LTE,1954.5079752604167,1834.1953125,11727.0478515625,3364272.25
NUM_SEG_IN_SYL_FW_LTE,1936.768275669643,1430.6649169921875,13557.3779296875,2046802.0
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE_EQ,1924.59765625,1999.626708984375,19245.9765625,3998506.75
PHRASE_LEN_IN_NO_WORDS_EQ_L,1919.1173270089287,2498.8310546875,26867.642578125,6244156.5
NUM_WORDS_FROM_PREV_CONT_WORD_LTE,1911.57275390625,1550.8203125,11469.4365234375,2405043.75
NUM_STRESSED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_LTE,1909.40771484375,1482.068359375,22912.892578125,2196526.75
UTTERANCE_LEN_IN_NO_SYLS_LTE,1890.0436921296296,2986.043701171875,51031.1796875,8916457.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_LL,1877.59140625,2359.997314453125,150207.3125,5569587.5
WORD_LEN_IN_NO_SYLS_EQ_R,1845.2232666015625,1877.394287109375,14761.7861328125,3524609.5
SYL_STRESSED_C,1841.9933268229167,1199.7750244140625,5525.97998046875,1439460.0
PHRASE_LEN_IN_NO_WORDS_EQ_C,1827.7442708333333,2666.337158203125,27416.1640625,7109354.0
SYL_ACCENT_TYPE_R,1812.691127232143,3070.634033203125,12688.837890625,9428793.0
UTTERANCE_LEN_IN_NO_PHRASES_LTE,1797.81640625,2281.958740234375,5393.44921875,5207336.0
SYL_POSITION_IN_WORD_BW_LTE,1760.9814453125,886.984375,12326.8701171875,786741.3125
PHRASE_LEN_IN_NO_SYLS_EQ_R,1735.4596354166667,1528.4144287109375,36444.65234375,2336050.75
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_C,1681.8607421875,2278.278076171875,134548.859375,5190551.5
WORD_POSITION_IN_PHRASE_FW_EQ,1679.8016183035713,1861.279541015625,23517.22265625,3464361.5
SYL_ACCENTED_C,1652.2962239583333,1280.1190185546875,4956.888671875,1638704.625
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_R,1626.3241185897436,1641.569091796875,126853.28125,2694749.0
NUM_ACCENTED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_LTE,1584.4222935267858,1678.761962890625,11090.9560546875,2818241.75
NUM_SEG_IN_SYL_BW_LTE,1560.246826171875,1421.9376220703125,12481.974609375,2021906.75
NUM_SYLS_FROM_PREV_STRESSED_SYL_EQ,1543.0099051339287,1220.86328125,10801.0693359375,1490507.25
NUM_STRESSED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,1484.5623497596155,2492.3193359375,19299.310546875,6211655.5
WORD_POSITION_IN_PHRASE_BW_EQ,1473.7811197916667,1945.3916015625,22106.716796875,3784548.25
SYL_STRESSED_L,1437.17333984375,1350.456298828125,2874.3466796875,1823732.375
WORD_POSITION_IN_PHRASE_FW_LTE,1434.0641526442307,1398.5914306640625,18642.833984375,1956058.0
NUM_SYLS_FROM_PREV_ACCENTED_SYL_EQ,1431.1034071180557,2273.344482421875,25759.861328125,5168095.5
NUM_WORDS_FROM_PREV_CONT_WORD_EQ,1415.4422433035713,1898.062744140625,9908.095703125,3602642.25
PHRASE_LEN_IN_NO_WORDS_LTE_L,1385.6539963942307,1474.099853515625,18013.501953125,2172970.5
SYL_LEN_IN_NO_SEG_EQ_C,1382.7122802734375,842.7417602539062,11061.6982421875,710213.6875
SYL_LEN_IN_NO_SEG_LTE_R,1382.521205357143,1344.8232421875,9677.6484375,1808549.625
NUM_STRESSED_SYLS_BEFORE_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,1315.5611478365386,2066.774658203125,17102.294921875,4271557.0
NUM_STRESSED_SYLS_BEFORE_CURRENT_SYL_IN_CURRENT_PHRASE_LTE,1314.1363932291667,1305.2579345703125,15769.63671875,1703698.125
PHRASE_LEN_IN_NO_WORDS_LTE_R,1308.9877604166666,1308.234375,19634.81640625,1711477.125
PHRASE_LEN_IN_NO_SYLS_LTE_L,1305.66455078125,1219.2252197265625,26113.291015625,1486510.0
NUM_SYLS_FROM_NEXT_STRESSED_SYL_LTE,1254.6590169270833,1158.7646484375,7527.9541015625,1342735.625
SYL_ACCENTED_L,1233.7879638671875,1124.285400390625,2467.575927734375,1264017.75
PHRASE_POSITION_IN_UTTERANCE_FW_EQ_C,1202.5667724609375,1961.31396484375,4810.26708984375,3846752.5
NUM_WORDS_FROM_NEXT_CONT_WORD_LTE,1193.4166666666667,521.3233032226562,7160.5,271778.0
NUM_ACCENTED_SYLS_BEFORE_CURRENT_SYL_IN_CURRENT_PHRASE_LTE,1192.4540201822917,1366.880859375,7154.72412109375,1868363.375
QUINTPHONE_SEGMENT_VC_R,1176.447021484375,1006.7760620117188,2352.89404296875,1013598.0625
NUM_SYLS_FROM_PREV_ACCENTED_SYL_LTE,1136.1459099264705,1384.1422119140625,19314.48046875,1915849.5
SYL_VOWEL_TYPE,1080.2941176470588,1175.5084228515625,18365.0,1381820.0
UTTERANCE_LEN_IN_NO_WORDS_EQ,1069.1854717548076,1484.0679931640625,13899.4111328125,2202457.75
PHRASE_LEN_IN_NO_SYLS_LTE_C,1068.763206845238,1562.0399169921875,22444.02734375,2439968.75
SYL_LEN_IN_NO_SEG_LTE_C,1004.9736328125,1175.3662109375,7034.8154296875,1381485.75
NUM_ACCENTED_SYLS_BEFORE_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,937.9248046875,760.228759765625,6565.4736328125,577947.8125
UTTERANCE_LEN_IN_NO_WORDS_LTE,933.4171549479166,1248.279296875,11201.005859375,1558201.125
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_L,835.47353515625,1188.034423828125,66837.8828125,1411425.75
PHRASE_LEN_IN_NO_SYLS_LTE_R,816.740625,1295.094970703125,16334.8125,1677270.875
WORD_LEN_IN_NO_SYLS_LTE_C,789.2001255580357,1500.5501708984375,5524.40087890625,2251650.75
WORD_LEN_IN_NO_SYLS_EQ_L,745.8672485351562,808.7463989257812,5966.93798828125,654070.75
PHRASE_LEN_IN_NO_SYLS_EQ_C,727.2290926846591,1013.703857421875,15999.0400390625,1027595.5625
NUM_SYLS_FROM_NEXT_ACCENTED_SYL_LTE,292.18077895220586,363.85577392578125,4967.0732421875,132391.03125
QUINTPHONE_SEGMENT_VC_LL,71.56668090820312,12.254936218261719,143.13336181640625,150.18345642089844
QUINTPHONE_SEGMENT_VC_L,69.66158294677734,39.104557037353516,139.3231658935547,1529.166259765625
PHRASE_POSITION_IN_UTTERANCE_BW_LTE_C,12.509469350179037,1.1468722820281982,37.52840805053711,1.315316081047058
