group name,group mean,group std per feat,group sum,group var
VUV,167367.25,0.0,167367.25,0.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,3848.9635416666665,6223.73974609375,57734.453125,38734936.0
SYLLABLE_ACCENT_TYPE,3480.9925595238096,5472.0146484375,73100.84375,29942946.0
NUM_WORDS_FROM_NEXT_CONT_WORD,3289.573016826923,7869.38232421875,42764.44921875,61927176.0
SYLLABLE_POSITION_IN_WORD_FW,3238.8854166666665,2636.642333984375,48583.28125,6951882.5
SYLLABLE_LEN_IN_SEGMENTS,3002.25625,3573.10302734375,135101.53125,12767066.0
UTTERANCE_LEN_IN_PHRASES,2979.2184709821427,4046.868896484375,20854.529296875,16377147.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_STRESSED_SYL,2972.683293269231,3416.664794921875,38644.8828125,11673599.0
SYLLABLE_POSITION_IN_WORD,2715.7046875,2746.818359375,81471.140625,7545011.5
SYLLABLE_POSITION_IN_PHRASE_FW,2636.193407012195,3469.2431640625,108083.9296875,12035648.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,2551.9514508928573,4821.22705078125,71454.640625,23244230.0
PHRASE_POSITION_IN_UTTERANCE_FW,2537.834542410714,2424.14892578125,17764.841796875,5876498.5
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE,2532.8673930921054,2433.55224609375,48124.48046875,5922177.0
SEG_POS_IN_SYL,2504.1287802419356,2798.614501953125,77627.9921875,7832243.0
SYLLABLE_ACCENTED,2447.5119977678573,2603.01220703125,17132.583984375,6775673.0
SYLLABLE_POSITION_IN_PHRASE,2407.6044207317073,3390.744873046875,197423.5625,11497150.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_STRESSED_SYLS,2352.8075420673076,2723.92138671875,61172.99609375,7419747.5
SYLLABLE_STRESS,2229.1471819196427,2361.365966796875,15604.0302734375,5576049.0
SYLLABLE_POSITION_IN_WORD_BW,2192.5236979166666,2755.1240234375,32887.85546875,7590708.5
SYLLABLE_POSITION_IN_PHRASE_BW,2179.015243902439,3294.56298828125,89339.625,10854146.0
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE,2155.2097039473683,2198.379638671875,40948.984375,4832873.0
WORD_LEN_IN_SYLS,2151.3897569444443,2343.482421875,96812.5390625,5491909.5
WORD_POSITION_IN_PHRASE_BW,1993.564174107143,1938.110595703125,55819.796875,3756272.5
PHRASE_POSITION_IN_UTTERANCE_BW,1952.226841517857,2328.847412109375,13665.587890625,5423530.5
UTTERANCE_LEN_IN_SYLS,1926.4933238636363,2714.609619140625,105957.1328125,7369106.0
PHRASE_LEN_IN_WORDS,1903.0267600574712,2144.947265625,165563.328125,4600798.5
WORD_POSITION_IN_PHRASE,1781.451846590909,1819.4840087890625,97979.8515625,3310522.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_STRESSED_SYL,1732.9319411057693,1548.3553466796875,22528.115234375,2397404.25
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,1688.48828125,2080.73193359375,42212.20703125,4329445.0
NUM_WORDS_FROM_PREV_CONT_WORD,1644.4256310096155,1763.8245849609375,21377.533203125,3111077.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE,1620.4221518987342,1981.4202880859375,640066.75,3926026.25
QUINTPHONE_SEGMENTAL_FEATURES,1615.7913580246914,1974.7557373046875,654395.5,3899660.25
WORD_POSITION_IN_PHRASE_FW,1561.4836516203704,1659.2821044921875,42160.05859375,2753217.25
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,1501.6825,1928.4996337890625,75084.125,3719111.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_ACCENTED_SYL,1498.03203125,2511.177734375,52431.12109375,6306014.0
QUINTPHONE_SEGMENT_VC,1432.87607421875,1680.449462890625,14328.7607421875,2823910.5
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_ACCENTED_SYLS,1392.93515625,2229.15576171875,97505.4609375,4969135.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,1314.8771875,1743.2685546875,32871.9296875,3038985.25
PHRASE_LEN_IN_SYLS,1297.132125,1744.25244140625,162141.515625,3042416.75
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_ACCENTED_SYL,1287.83828125,1900.043701171875,45074.33984375,3610166.25
SYL_VOWEL_TYPE,1080.2941176470588,1175.5084228515625,18365.0,1381820.0
SYLLABLE_NUCLEUS,1080.2941176470588,1175.5084228515625,18365.0,1381820.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,1055.3997896634614,1090.6990966796875,13720.197265625,1189624.625
UTTERANCE_LEN_IN_WORDS,1004.0165625,1377.6121826171875,25100.4140625,1897815.375
