group name,group mean,group std per feat,group sum,group var
VUV,167367.25,0.0,167367.25,0.0
SYLLABLE_ACCENT_TYPE,3480.9925595238096,5472.0146484375,73100.84375,29942946.0
SYLLABLE_LEN_IN_SEGMENTS,3002.25625,3573.10302734375,135101.53125,12767066.0
SEG_POS_IN_SYL,2504.1287802419356,2798.614501953125,77627.9921875,7832243.0
SYLLABLE_POSITION,2490.1311383928573,3233.752685546875,278894.6875,10457157.0
RELATIVE_WORD_POSITION,2466.9993990384614,5761.5751953125,64141.984375,33195746.0
SYLLABLE_ACCENTED,2447.5119977678573,2603.01220703125,17132.583984375,6775673.0
WORD_SURROUNDINGS,2344.0386513157896,2326.624267578125,89073.46875,5413181.0
PHRASE_POSITION,2245.0305524553573,2394.9423828125,31430.427734375,5735748.5
SYLLABLE_STRESS,2229.1471819196427,2361.365966796875,15604.0302734375,5576049.0
WORD_LEN_IN_SYLS,2151.3897569444443,2343.482421875,96812.5390625,5491909.5
SYLLABLE_NEIGHBOURHOOD,1878.7023237179487,3313.903564453125,146538.78125,10981957.0
WORD_POSITION,1781.451846590909,1819.4840087890625,97979.8515625,3310522.0
UTTERANCE_LEN,1746.1156609195402,2612.056884765625,151912.0625,6822841.5
RELATIVE_SYLLABLE_POSITION,1652.9005533854167,2411.388427734375,158678.453125,5814794.5
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE,1620.4221518987342,1981.4202880859375,640066.75,3926026.25
QUINTPHONE_SEGMENTAL_FEATURES,1615.7913580246914,1974.7557373046875,654395.5,3899660.25
PHRASE_LEN,1545.777712264151,1941.846923828125,327704.875,3770769.5
QUINTPHONE_SEGMENT_VC,1432.87607421875,1680.449462890625,14328.7607421875,2823910.5
SYLLABLE_NUCLEUS,1080.2941176470588,1175.5084228515625,18365.0,1381820.0
