group name,group mean,group std per feat,group sum,group var
VUV,162148.859375,0.0,162148.859375,0.0
NUM_ACCENTED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_EQ,5085.705078125,8360.189453125,40685.640625,69892768.0
SYL_ACCENTED_R,4797.35009765625,3472.239013671875,9594.7001953125,12056443.0
SYL_LEN_IN_NO_SEG_EQ_R,4712.982421875,9717.330078125,37703.859375,94426512.0
SYL_ACCENT_TYPE_L,4650.310267857143,8130.2294921875,32552.171875,66100632.0
PHRASE_POSITION_IN_UTTERANCE_FW_LTE_C,4298.803059895833,1748.822021484375,12896.4091796875,3058378.25
NUM_WORDS_FROM_NEXT_CONT_WORD_EQ,4052.2340959821427,10917.78125,28365.638671875,119197944.0
WORD_LEN_IN_NO_SYLS_LTE_L,3316.0518973214284,2591.891357421875,23212.36328125,6717900.5
QUINTPHONE_SEGMENT_VC_C,3212.6376953125,853.4305419921875,6425.275390625,728343.6875
SYL_POSITION_IN_WORD_FW_LTE,3145.640625,2767.94189453125,22019.484375,7661502.5
SYL_LEN_IN_NO_SEG_EQ_L,3104.61279296875,2961.938232421875,24836.90234375,8773078.0
NUM_SEG_IN_SYL_FW_EQ,3102.8271484375,4370.67919921875,24822.6171875,19102836.0
SYL_LEN_IN_NO_SEG_LTE_L,2913.914620535714,2702.738525390625,20397.40234375,7304795.0
NUM_SYLS_FROM_NEXT_STRESSED_SYL_EQ,2903.529296875,6247.783203125,20324.705078125,39034796.0
WORD_LEN_IN_NO_SYLS_LTE_R,2769.213448660714,1804.6878662109375,19384.494140625,3256898.25
WORD_LEN_IN_NO_SYLS_EQ_C,2573.273193359375,3935.004150390625,20586.185546875,15484257.0
QUINTPHONE_SEGMENT_VC_RR,2544.738525390625,2067.828857421875,5089.47705078125,4275916.0
WORD_POSITION_IN_PHRASE_BW_LTE,2482.822566105769,1864.5067138671875,32276.693359375,3476385.5
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE_LTE,2460.548828125,2620.19287109375,22144.939453125,6865411.0
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE_LTE,2268.9353298611113,2491.3515625,20420.41796875,6206832.0
PHRASE_LEN_IN_NO_WORDS_LTE_C,2243.6668526785716,2714.828369140625,31411.3359375,7370292.5
UTTERANCE_LEN_IN_NO_PHRASES_EQ,2203.4736328125,6381.36279296875,8813.89453125,40721792.0
NUM_SEG_IN_SYL_BW_EQ,1846.40673828125,4004.55859375,14771.25390625,16036490.0
SYL_STRESSED_R,1787.33056640625,5370.39453125,3574.6611328125,28841138.0
SYL_POSITION_IN_WORD_FW_EQ,1738.637451171875,4321.8896484375,13909.099609375,18678732.0
NUM_SEG_IN_SYL_FW_LTE,1726.6815011160713,1700.5506591796875,12086.7705078125,2891872.5
SYL_POSITION_IN_WORD_BW_LTE,1711.2481863839287,907.7523803710938,11978.7373046875,824014.4375
SYL_ACCENT_TYPE_C,1662.124302455357,5728.818359375,11634.8701171875,32819360.0
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE_EQ,1661.4908203125,2201.773681640625,16614.908203125,4847807.5
PHRASE_LEN_IN_NO_WORDS_EQ_R,1660.6131591796875,2783.36376953125,26569.810546875,7747114.0
NUM_STRESSED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_LTE,1651.2781575520833,1774.4556884765625,19815.337890625,3148693.0
SYL_STRESSED_C,1634.6028645833333,1421.3826904296875,4903.80859375,2020328.625
SYL_POSITION_IN_PHRASE_FW_EQ,1617.8067336309523,5932.1181640625,33973.94140625,35190024.0
NUM_SYLS_FROM_PREV_STRESSED_SYL_LTE,1591.4093424479167,2214.359130859375,9548.4560546875,4903386.5
NUM_SYLS_FROM_NEXT_ACCENTED_SYL_EQ,1586.94140625,4158.2119140625,28564.9453125,17290728.0
PHRASE_LEN_IN_NO_WORDS_EQ_L,1577.6739676339287,2675.654541015625,22087.435546875,7159127.0
NUM_WORDS_FROM_PREV_CONT_WORD_LTE,1492.6598307291667,1955.10498046875,8955.958984375,3822435.25
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE_RR,1477.294034090909,2858.706787109375,113751.640625,8172204.0
UTTERANCE_LEN_IN_NO_PHRASES_LTE,1432.1490885416667,2553.06884765625,4296.447265625,6518160.0
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE_EQ,1314.2833984375,3615.84375,13142.833984375,13074326.0
SYL_POSITION_IN_PHRASE_FW_LTE,1236.098828125,3369.03466796875,24721.9765625,11350394.0
WORD_POSITION_IN_PHRASE_FW_EQ,1162.326869419643,2335.99169921875,16272.576171875,5456857.5
SYL_POSITION_IN_PHRASE_BW_LTE,1157.753125,3411.084228515625,23155.0625,11635496.0
NUM_ACCENTED_SYLS_AFTER_CURRENT_SYL_IN_CURRENT_PHRASE_LTE,1152.1554129464287,2061.4609375,8065.087890625,4249621.0
NUM_WORDS_FROM_NEXT_CONT_WORD_LTE,1107.9976399739583,561.3284912109375,6647.98583984375,315089.65625
SYL_LEN_IN_NO_SEG_EQ_C,1041.6414794921875,1243.0601806640625,8333.1318359375,1545198.625
PHRASE_LEN_IN_NO_SYLS_EQ_L,982.2036830357143,3871.25146484375,20626.27734375,14986587.0
