group name,group mean,group std per feat,group sum,group var
VUV,162148.859375,0.0,162148.859375,0.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,3250.0481770833335,6565.84423828125,48750.72265625,43110308.0
NUM_WORDS_FROM_NEXT_CONT_WORD,2693.35546875,8153.7255859375,35013.62109375,66483244.0
SYLLABLE_POSITION_IN_WORD_FW,2395.2385416666666,3745.67431640625,35928.578125,14030076.0
SYLLABLE_ACCENT_TYPE,2154.9709821428573,6593.68017578125,45254.390625,43476620.0
NUM_CONT_WORDS_AFTER_CURRENT_WORD_IN_PHRASE,1949.2280016447369,2362.953125,37035.33203125,5583547.5
SYLLABLE_LEN_IN_SEGMENTS,1907.997048611111,5329.05126953125,85859.8671875,28398786.0
SEG_POS_IN_SYL,1874.979712701613,3430.468505859375,58124.37109375,11768114.0
UTTERANCE_LEN_IN_PHRASES,1872.9058314732142,5119.4521484375,13110.3408203125,26208790.0
NUM_CONT_WORDS_BEFORE_CURRENT_WORD_IN_PHRASE,1857.2512335526317,3234.3212890625,35287.7734375,10460834.0
SYLLABLE_ACCENTED,1851.075892857143,3186.346435546875,12957.53125,10152803.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,1690.4359654017858,5506.3642578125,47332.20703125,30320048.0
SYLLABLE_POSITION_IN_WORD,1672.5803385416666,4135.2392578125,50177.41015625,17100202.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_STRESSED_SYL,1637.253155048077,5164.634765625,21284.291015625,26673450.0
PHRASE_POSITION_IN_UTTERANCE_FW,1521.7218191964287,3637.8056640625,10652.052734375,13233630.0
SYLLABLE_POSITION_IN_PHRASE_FW,1431.607755335366,4857.708984375,58695.91796875,23597338.0
WORD_POSITION_IN_PHRASE_BW,1398.441127232143,2646.791259765625,39156.3515625,7005504.5
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_STRESSED_SYLS,1389.9501201923076,3996.758056640625,36138.703125,15974075.0
WORD_LEN_IN_SYLS,1337.778125,3222.50439453125,60200.015625,10384535.0
WORD_POSITION_IN_PHRASE,1229.6688920454546,2416.850341796875,67631.7890625,5841165.0
PHRASE_LEN_IN_WORDS,1218.6487966954023,2845.271728515625,106022.4453125,8095571.0
SYLLABLE_STRESS,1154.703892299107,3511.33349609375,8082.92724609375,12329463.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_STRESSED_SYL,1142.6475360576924,2269.885986328125,14854.41796875,5152382.5
SYLLABLE_POSITION_IN_PHRASE,1099.548399390244,4765.978515625,90162.96875,22714550.0
WORD_POSITION_IN_PHRASE_FW,1054.6452546296296,2138.581298828125,28475.421875,4573530.0
SYLLABLE_POSITION_IN_WORD_BW,949.9214192708333,4373.31201171875,14248.8212890625,19125860.0
NUM_WORDS_FROM_PREV_CONT_WORD,847.5498798076923,2542.107177734375,11018.1484375,6462309.0
UTTERANCE_LEN_IN_SYLS,775.8379261363636,3833.95654296875,42671.0859375,14699223.0
SYLLABLE_POSITION_IN_PHRASE_BW,767.4893292682926,4648.78857421875,31467.0625,21611234.0
QUINTPHONE_SEGMENT_VC,766.699609375,2280.63427734375,7666.99609375,5201292.5
QUINTPHONE_SEGMENTAL_FEATURES,550.9629629629629,3178.697265625,223140.0,10104116.0
QUINTPHONE_SEGMENT_ARTICULATORY_TYPE,545.5011867088608,3197.972900390625,215472.96875,10227031.0
PHRASE_LEN_IN_SYLS,468.41590625,2561.206298828125,58551.98828125,6559778.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_PREV_ACCENTED_SYL,454.2508091517857,2592.70361328125,15898.7783203125,6722112.5
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_OTHER_NEIGHBOURING_ACCENTED_SYLS,368.6675223214286,3046.332275390625,25806.7265625,9280140.0
POSITION_OF_CURRENT_SYL_IN_RELATION_TO_NEXT_ACCENTED_SYL,283.0842075892857,3438.53466796875,9907.947265625,11823520.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_AFTER_CURRENT_SYL,54.2932421875,4118.4462890625,1357.3310546875,16961598.0
SYLLABLE_NUCLEUS,7.491814108455882,2293.85009765625,127.36083984375,5261748.0
SYL_VOWEL_TYPE,7.491814108455882,2293.85009765625,127.36083984375,5261748.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_IN_RELATION_TO_CURRENT_SYL_POSITION,-96.43345703125,3776.268798828125,-4821.6728515625,14260206.0
UTTERANCE_LEN_IN_WORDS,-103.421171875,2491.627685546875,-2585.529296875,6208208.0
NUM_ACCENTED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,-109.11636117788461,3084.9736328125,-1418.5126953125,9517062.0
NUM_STRESSED_SYLS_IN_CURRENT_PHRASE_BEFORE_CURRENT_SYL,-247.1601953125,3393.13623046875,-6179.0048828125,11513373.0
PHRASE_POSITION_IN_UTTERANCE_BW,-3918.4748883928573,7922.90625,-27429.32421875,62772440.0
